"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,-0.391306711193892,0.387948695058526,-0.895941914672167,2,10,7
-50,0.0123976008372555,0.593059940027455,-0.47803155091686,7,20,7
-40,-0.0019731617767735,0.608522510375559,-0.521570386620673,7,20,8
-30,-0.178845531184145,0.676519014629958,-1.25169702373101,3,20,8
-20,0.126979232248228,0.70049697361902,-0.381790492925814,3,20,8
-10,0.299722212216259,0.536205159647023,-0.14643677622029,7,20,18
0,-0.289343981268667,0.102887567853698,-0.651387004836212,16,20,17
10,-0.415066338845506,0.051718807501398,-0.955060770737155,10,20,19
20,-0.0100672907764301,0.47655971196939,-0.608878962554806,12,20,15
30,0.0910102999874802,0.599227047557776,-0.512384018407676,13,20,15
40,-0.204406841012945,0.271687043072185,-0.653730800085282,11,20,15
50,-0.375045210386992,0.182511557041079,-0.793018382577306,12,20,14
60,0.0237538631306741,0.587105534262907,-0.44716729726344,12,20,17
70,0.226570863198024,0.74756011898158,-0.325227016402914,15,20,19
80,-0.0474262608502314,0.396072711422169,-0.402898747566648,18,20,19
90,0.108624097395518,0.465645804237696,-0.218407120296876,15,20,22
100,0.0478998614487897,0.38466537276053,-0.305948848874599,15,20,20
110,-0.199541014039921,0.106976877636703,-0.516510517260284,16,20,19
120,-0.138371246714655,0.333253562854071,-0.529541967649558,14,20,22
130,0.112938950966927,0.484975806801356,-0.282195040776708,17,20,21
140,-0.0961326094620799,0.30242914901478,-0.469194628310269,17,20,21
150,-0.0774317770711761,0.388232069073813,-0.588999799154734,16,20,19
160,-0.174694881533761,0.395141000368939,-0.769392063738154,12,20,17
170,-0.00352359146816965,0.582282255548244,-0.665617663705242,11,20,18
180,-0.102479377067361,0.40603671710063,-0.640510796467204,16,20,19
190,-0.367364536557318,0.212006713106732,-0.751216663574124,17,20,19
200,-0.298596327729834,0.447208195491916,-0.677208416250779,13,10,17
