"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,0.11688683593256,1.00834538163422,-0.677780256968128,0,0,8
-50,0.11688683593256,1.00834538163422,-0.677780256968128,8,10,9
-40,0.0394003543901678,0.990619440480699,-0.838057777936698,8,20,9
-30,0.299349224177922,1.27428180084677,-0.978293251485663,4,20,11
-20,0.292683552512168,0.733199096152653,-0.276527306408347,7,20,8
-10,0.223090011439643,0.731200433759689,-0.304801451691899,6,20,12
0,-0.358461629731187,0.315519735210396,-0.901548212214332,7,20,15
10,-0.180273260650055,0.26166647556764,-0.764297826859877,11,20,14
20,-0.00531778747808208,0.385938302345291,-0.382384483536169,12,20,14
30,-0.117330487880619,0.294703563278018,-0.541514325586037,9,20,15
40,-0.307229501677619,0.193644316748854,-0.796032689763018,10,20,15
50,0.236568553291246,0.885676498089547,-0.470713105405341,12,20,17
60,0.175200167648712,0.674087263185405,-0.185994502162366,12,20,17
70,-0.285105035713154,0.0781939443173696,-0.631107235788531,12,20,15
80,-0.147024767234047,0.299631505801813,-0.569843127805475,10,20,13
90,0.446931077444558,0.859396482218097,0.0860763840820779,9,20,13
100,-0.0546368934099344,0.501887046211174,-0.388629297724615,9,20,13
110,-0.183930928326054,0.255021147085421,-0.571970547998475,9,20,18
120,-0.175960683923428,0.242379280428413,-0.615018425168828,15,20,18
130,-0.164606338625126,0.33525835926148,-0.629758037307088,15,20,16
140,-0.2646921890844,0.229148414551535,-0.831550391873683,7,20,17
150,0.0527810567672346,0.543609005668234,-0.483911482158131,9,20,11
160,0.169564871054804,0.704434077456164,-0.36149754729763,9,20,14
170,-0.038397588838801,0.95885228858936,-0.79555785904969,9,20,15
180,0.255123278194907,0.933075964926824,-0.346167912539747,11,20,14
190,0.253203019935502,0.850351378585482,-0.650996884878526,9,20,15
200,-0.306008632467533,0.497573973883292,-1.36431451418482,7,10,11
