"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,-0.383473683182622,0.0326302732185958,-0.852051534477666,21,10,40
-50,-0.256932642482811,-0.00455424076639694,-0.536346651837838,40,20,44
-40,-0.160038077692682,0.075285913164658,-0.391719086278794,41,20,48
-30,-0.130553357557413,0.108745329578513,-0.373663702659174,43,20,53
-20,-0.14507727317392,0.101304270491298,-0.398841962173518,49,20,54
-10,-0.237013893927879,-0.0145108997651466,-0.439356482124299,53,20,65
0,-0.325424437398471,-0.131263661239233,-0.509812063652861,61,20,68
10,-0.215765846803913,-0.0470012552259733,-0.374071384026363,61,20,69
20,-0.217519070222891,-0.0335296991097399,-0.394962731172121,63,20,72
30,-0.161974911839003,0.0581399480539737,-0.395213124277929,65,20,74
40,-0.14843941885668,0.0661854445471496,-0.372376318297066,65,20,73
50,-0.110328736942766,0.106166940706953,-0.324928022846444,62,20,74
60,-0.0207622684372955,0.185360253761534,-0.208605675717154,64,20,71
70,-0.0306980488339942,0.206676491711755,-0.24507034845218,64,20,70
80,-0.132245039690988,0.0972077377303641,-0.337009453709192,60,20,71
90,0.124272595056615,0.36569464944233,-0.118601057214918,61,20,70
100,0.205307722430741,0.426633581662386,0.000449889237368056,61,20,71
110,0.183936022666218,0.433677245243165,-0.0550457785627383,63,20,70
120,0.154176487405525,0.382140941648175,-0.0818857823771174,60,20,69
130,0.0810791558464956,0.365389816030283,-0.211968480704954,57,20,69
140,-0.0560932784193314,0.187488628670073,-0.297241853668732,58,20,71
150,-0.116616172901664,0.107998163830044,-0.347784859627592,58,20,70
160,-0.0131960408540515,0.242438924514764,-0.26107379723647,58,20,72
170,0.128122345867559,0.378621308438303,-0.110002474187569,60,20,74
180,0.0471395350868609,0.276222189869188,-0.16717533934903,63,20,71
190,0.107493884931209,0.31461949151818,-0.121720197282031,60,20,72
200,0.110255534373563,0.355829759746353,-0.161268896876146,57,10,67
