"","x"
"1",135
"2",136
"3",140
"4",243
"5",244
"6",245
"7",267
"8",275
"9",279
"10",335
"11",336
"12",381
"13",383
"14",384
"15",385
"16",387
"17",396
"18",405
"19",446
"20",483
"21",525
"22",531
"23",532
"24",546
"25",548
"26",550
"27",551
"28",552
"29",554
"30",557
"31",558
"32",563
"33",577
"34",581
"35",582
"36",621
"37",623
"38",624
"39",625
"40",626
"41",629
"42",630
"43",631
"44",638
"45",684
"46",685
"47",700
"48",701
"49",714
"50",716
"51",793
"52",844
"53",855
"54",863
"55",864
"56",866
"57",869
"58",873
"59",876
"60",877
"61",878
"62",880
"63",890
"64",892
"65",895
"66",902
"67",903
"68",904
"69",905
"70",906
"71",907
"72",908
"73",909
"74",916
"75",938
"76",965
"77",968
"78",977
"79",979
"80",980
"81",981
"82",983
"83",985
"84",986
"85",988
"86",1340
"87",1343
"88",1345
"89",1351
"90",1363
"91",1375
"92",1378
"93",1379
"94",1385
"95",1395
"96",1406
"97",1434
"98",1437
"99",1450
"100",1462
"101",1471
"102",1472
"103",1476
"104",1481
"105",1501
"106",1503
"107",1505
"108",1509
"109",1513
"110",1515
"111",1520
"112",1526
"113",1561
"114",1564
"115",1565
"116",1566
"117",1569
"118",1574
"119",1575
"120",1576
"121",1577
"122",1578
"123",1581
"124",1582
"125",1583
"126",1587
"127",1590
"128",1591
"129",1593
"130",1595
"131",1596
"132",1598
"133",1599
"134",1601
"135",1602
"136",1604
"137",1612
"138",1613
"139",1616
"140",1618
"141",1621
"142",1631
"143",1639
"144",1644
"145",1645
"146",1647
"147",1649
"148",1651
"149",1653
"150",1655
"151",1658
"152",1659
"153",1660
"154",1661
"155",1669
"156",1670
"157",1671
"158",1675
"159",1676
"160",1678
"161",1679
"162",1680
"163",1681
"164",1682
"165",1684
"166",1686
"167",1689
"168",1690
"169",1691
"170",1694
"171",1697
"172",1699
"173",1701
"174",1703
"175",1704
"176",1705
"177",1707
"178",1708
"179",1713
"180",1723
"181",1724
"182",1729
"183",1733
"184",1747
"185",1754
"186",1762
"187",1863
"188",1882
"189",2075
"190",2083
"191",2092
"192",2100
"193",2101
"194",2105
"195",2125
"196",2130
"197",2132
"198",2133
"199",2147
"200",2166
"201",2169
"202",2170
"203",2172
"204",2173
"205",2174
"206",2175
"207",2176
"208",2177
"209",2181
"210",2185
"211",2188
"212",2189
"213",2190
"214",2191
"215",2194
"216",2200
"217",2202
"218",2203
"219",2218
"220",2240
"221",2241
"222",2244
"223",2246
"224",2247
"225",2248
"226",2249
"227",2251
"228",2252
"229",2254
"230",2260
"231",2261
"232",2262
"233",2263
"234",2264
"235",2265
"236",2266
"237",2267
"238",2268
"239",2269
"240",2270
"241",2271
"242",2272
"243",2273
"244",2274
"245",2275
"246",2276
"247",2277
"248",2278
"249",2279
"250",2280
"251",2281
"252",2288
"253",2290
"254",2291
"255",2292
"256",2293
"257",2294
"258",2295
"259",2296
"260",2382
"261",2383
"262",2384
"263",2385
"264",2386
"265",2420
"266",2422
"267",2427
"268",2436
"269",2440
"270",2443
"271",2446
"272",2447
"273",2448
"274",2449
"275",2450
"276",2455
"277",2456
"278",2458
"279",2462
"280",2464
"281",2465
"282",2466
"283",2477
