"","x"
"1",29
"2",47
"3",51
"4",53
"5",63
"6",64
"7",211
"8",213
"9",215
"10",217
"11",218
"12",219
"13",220
"14",221
"15",222
"16",224
"17",297
"18",300
"19",447
"20",449
"21",452
"22",454
"23",1344
"24",1383
"25",1424
"26",1431
"27",1436
"28",1446
"29",1448
"30",1451
"31",1453
"32",1470
"33",1489
"34",1519
"35",1530
"36",1531
"37",1547
"38",1550
"39",1551
"40",1554
"41",1555
"42",1558
"43",1559
"44",1677
"45",1734
"46",1735
"47",1780
"48",1782
"49",1791
"50",1799
"51",1829
"52",1830
"53",1832
"54",1834
"55",1884
"56",1886
"57",1887
"58",1889
"59",1893
"60",1894
"61",1896
"62",2056
"63",2057
"64",2076
"65",2087
"66",2088
"67",2089
"68",2091
"69",2238
"70",2239
