"site","lambda","likelihood","mean","stdev"
"1530Hud","-0.14","160.606590768011","0.248028764662731","0.203656667180117"
"1550Pok","-0.84","289.395489693864","0.227363645933608","0.326522299828996"
"1554Sal","0.14","-341.483547938603","0.323831945148556","0.154113865681193"
"1558Uch","-0.66","327.884183009704","0.319335370549664","0.398003275366715"
"1566Ara","0.22","-263.395347656789","0.139237908191264","0.163149760200582"
"1577Naa","-1.48","303.247231694636","0.305810419415795","0.268889841648423"
"1580Pin","-1.84","873.520746881592","0.202264487488197","0.278771085917036"
"1582Tei","-2","137.957671041398","0.124391909878645","0.3333071757237"
"1583Bri","0.18","-320.852005890612","0.527090392372161","0.240950243064913"
"1585Pol","-1.62","394.834101430812","0.2477636131377","0.275540969789538"
"1596Kam","-0.28","92.0797386144251","0.145472775459341","0.227134711327702"
"1602Tri","-0.64","132.636743366498","0.684634697802134","0.294387223455116"
"1645El ","0.12","8.52544367615035","0.939536785245403","0.0855078983306286"
"1646El ","0.44","-9.64628169345779","0.660378111201503","0.104212281491334"
"1669Kii","0.68","-6.2034544391109","0.563098013599975","0.201194414937609"
"1670Koi","-0.0999999999999999","29.1275932765523","0",NA
"1675Maa","-0.82","148.340008150807","0.975499251259525","0.0175335290426806"
"1676Mus","-0.2","11.0547197239903","0.5858426470509","0.150272914500668"
"1678Par","-0.04","22.0032395805014","0.408946064524046","0.382617209294698"
"1681Sur","-1.04","140.50423187271","0.567593589851841","0.190770740338465"
"1684Ved","-0.2","68.1451564022193","0.415161138241006","0.1660374154953"
"1705Ldl","0.22","-128.362341025288","0.39415273615524",NA
"1723Ahl","-0.94","128.910072398695","0.759141379185579","0.267359970859134"
"1724BK-","-1.08","59.2168785516086","0","0"
"1734Lin","0.2","4.14020865826525","0.425235000074581","0.157654344707063"
"1740Lak","-0.46","195.929568299298","0.456928788086285","0.194295987975128"
"1742Bag","0.32","-112.528251743521","0.370564359836176","0.334248641861915"
