"","x"
"1",7
"2",47
"3",96
"4",97
"5",98
"6",130
"7",147
"8",159
"9",173
"10",193
"11",218
"12",253
"13",254
"14",265
"15",271
"16",275
"17",279
"18",321
"19",377
"20",388
"21",389
"22",449
"23",462
"24",485
"25",510
"26",511
"27",525
"28",532
"29",554
"30",608
"31",621
"32",780
"33",782
"34",783
"35",785
"36",790
"37",816
"38",835
"39",836
"40",847
"41",848
"42",849
"43",876
"44",902
"45",903
"46",904
"47",965
"48",968
"49",973
"50",974
"51",977
"52",979
"53",981
"54",986
"55",988
"56",989
"57",1331
"58",1332
"59",1333
"60",1335
"61",1336
"62",1337
"63",1338
"64",1339
"65",1352
"66",1366
"67",1369
"68",1371
"69",1372
"70",1373
"71",1374
"72",1396
"73",1399
"74",1402
"75",1418
"76",1453
"77",1460
"78",1471
"79",1476
"80",1490
"81",1491
"82",1501
"83",1504
"84",1508
"85",1517
"86",1572
"87",1586
"88",1587
"89",1604
"90",1610
"91",1612
"92",1613
"93",1618
"94",1619
"95",1620
"96",1631
"97",1639
"98",1640
"99",1644
"100",1649
"101",1653
"102",1654
"103",1655
"104",1658
"105",1659
"106",1661
"107",1662
"108",1663
"109",1664
"110",1689
"111",1690
"112",1691
"113",1694
"114",1697
"115",1698
"116",1699
"117",1700
"118",1703
"119",1704
"120",1706
"121",1707
"122",1713
"123",1838
"124",1839
"125",1865
"126",1867
"127",1868
"128",1869
"129",1870
"130",1872
"131",1873
"132",1874
"133",1875
"134",1876
"135",1878
"136",1879
"137",1880
"138",1881
"139",1910
"140",1911
"141",1912
"142",1913
"143",1914
"144",1919
"145",1920
"146",1922
"147",1927
"148",1930
"149",1932
"150",1933
"151",1935
"152",1947
"153",1948
"154",1950
"155",1952
"156",1957
"157",1961
"158",1969
"159",1970
"160",1975
"161",1976
"162",1981
"163",1982
"164",1983
"165",1985
"166",1996
"167",1997
"168",2004
"169",2005
"170",2006
"171",2007
"172",2008
"173",2012
"174",2013
"175",2015
"176",2016
"177",2018
"178",2019
"179",2020
"180",2021
"181",2022
"182",2025
"183",2026
"184",2037
"185",2040
"186",2041
"187",2062
"188",2063
"189",2064
"190",2065
"191",2068
"192",2070
"193",2093
"194",2094
"195",2096
"196",2099
"197",2102
"198",2103
"199",2104
"200",2106
"201",2107
"202",2110
"203",2111
"204",2112
"205",2113
"206",2114
"207",2115
"208",2117
"209",2118
"210",2120
"211",2121
"212",2122
"213",2127
"214",2128
"215",2129
"216",2134
"217",2135
"218",2137
"219",2138
"220",2140
"221",2141
"222",2146
"223",2147
"224",2161
"225",2167
"226",2171
"227",2182
"228",2184
"229",2187
"230",2196
"231",2203
"232",2206
"233",2208
"234",2210
"235",2214
"236",2215
"237",2218
"238",2221
"239",2225
"240",2226
"241",2227
"242",2230
"243",2231
"244",2232
"245",2233
"246",2235
"247",2283
"248",2284
"249",2285
"250",2286
"251",2297
"252",2298
"253",2299
"254",2300
"255",2303
"256",2305
"257",2311
"258",2315
"259",2316
"260",2318
"261",2319
"262",2322
"263",2323
"264",2324
"265",2326
"266",2327
"267",2328
"268",2329
"269",2330
"270",2332
"271",2333
"272",2335
"273",2336
"274",2337
"275",2340
"276",2343
"277",2344
"278",2348
"279",2351
"280",2354
"281",2356
"282",2357
"283",2364
"284",2365
"285",2367
"286",2370
"287",2372
"288",2374
"289",2376
"290",2397
"291",2415
"292",2430
"293",2433
"294",2443
"295",2446
"296",2467
"297",2468
