# ID_SITE,ID_ENTITY,entity_name,latitude,longitude,elevation,depositional_context,measurement_method,TYPE,source,core_location,last_updated,ID_UNIT,REGION
565,656,Bridgewater Lake Core B,-38.3,141.38,20,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,central core,07/05/2021,126,AUST
574,665,Katoomba Swamp core,-33.71,150.31,950,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,56,AUST
577,668,Lake Johnston core,-41.86,145.55,900,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,170,AUST
578,669,Loch Sport Swamp core,-37.96,147.68,2,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,60,AUST
579,670,Long Swamp core,-38.08,141.08,2,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,146,AUST
583,674,Breadalbane core,-34.8,149.51,694,lake sediment,Pollen slide,influx,Global Charcoal Database Version 4,central core,07/05/2021,149,AUST
584,675,Brooks Ridge Fen core,-36.15,148.59,1450,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,17,AUST
585,676,Burralow Creek Swamp core,-33.53,150.63,320,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,56,AUST
586,677,Chapple Vale Swamp core,-38.62,143.32,30,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,1,AUST
587,678,Club Lake core,-36.4,148.31,1980,lake sediment,Pollen slide,influx,Global Charcoal Database Version 4,-777777,06/03/2020,28,AUST
591,682,Kurnell Swamp core,-34.03,151.21,2,bog sediment,Pollen slide,influx,Global Charcoal Database Version 4,-777777,06/03/2020,149,AUST
632,687,Rotten Swamp_high-res core,-35.7,148.88,1445,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,156,AUST
598,689,Egg Lagoon core,-39.65,143.95,20,-777777,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,106,AUST
616,708,Worimi Swamp core,-32.51,152.33,8,bog sediment,Sieved,influx,Global Charcoal Database Version 4,-777777,06/03/2020,149,AUST
617,709,W2,-34.56,150.51,685,bog sediment,Sieved,influx,Global Charcoal Database Version 4,-777777,06/03/2020,149,AUST
618,710,Bonatoa core,-18.07,178.53,4,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,152,AUST
626,720,Blundells Flat A_micro,-35.19,148.49,762,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,156,AUST
628,722,Cobrico Swamp core,-38.3,143.03,140,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,marginal core,07/05/2021,152,AUST
630,724,Jibbon Lagoon core 1,-34.08,151.15,65,-777777,Sieved,influx,Global Charcoal Database Version 4,-777777,06/03/2020,16,AUST
631,726,Lake Flannigan King Island core 1,-39.6,143.95,40,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,106,AUST
633,728,McKenzie Road Bog core,-38.43,146.76,50,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
637,732,Navatu core,-18.07,178.53,4,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
638,733,Sari core,-16.63,179.5,67,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
639,734,Vunimoli core,-18.22,177.88,251,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
640,735,Waitabu core,-18.23,-178.78,43,other,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
