"","x"
"1",485
"2",779
"3",780
"4",782
"5",785
"6",816
"7",827
"8",835
"9",836
"10",848
"11",849
"12",2030
"13",2297
"14",2300
"15",2303
"16",2305
"17",2322
"18",2324
"19",2332
"20",2333
"21",2335
"22",2337
"23",2344
"24",2345
"25",2351
"26",2415
