"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,0.712934806500891,0.890045027273817,0.0005733522451289,3,10,6
-50,0.294344488722885,0.731750070631765,-0.513918426660367,6,20,7
-40,0.0622452728961848,0.722060396237569,-1.05705187035431,3,20,10
-30,0.450915771309071,0.981642584612521,-0.0509016337368374,6,20,8
-20,0.200394148352661,0.746712951648763,-0.422946006758482,8,20,9
-10,0.104198407726905,0.785163423774436,-0.601815129794593,5,20,16
0,-0.0834715398281045,0.64827794900962,-0.641231363218394,9,20,17
10,0.644107379824144,0.911439367884282,0.193551705214296,9,20,15
20,0.666130285944796,0.883777234360493,0.316278150628588,9,20,13
30,-0.0553601985060294,0.290746715893292,-0.250733044684114,7,20,12
40,-0.227198447785742,0.105058508704165,-1.12844660570729,7,20,10
50,-0.475666520759239,0.0785923090272028,-1.42064590167135,6,20,13
60,-0.454142905715065,-0.203191527544554,-0.776878237806484,11,20,14
70,-0.370205145634933,0.0733687780196629,-0.704567277443068,12,20,16
80,-0.186136961221755,0.536548995364528,-0.649995406647143,9,20,16
90,-0.447657372777995,0.125604983654606,-0.708556017037691,9,20,15
100,-0.346432691818165,0.0665272027148653,-0.607503235133218,10,20,14
110,-0.120963807801515,0.452414099213229,-0.630439159107931,8,20,14
120,0.234184242509147,0.86840232309185,-0.324444898845354,9,20,15
130,0.212493976630621,0.829014264651713,-0.417501872571058,10,20,12
140,0.148942739019888,0.725250672765979,-0.542768990684556,7,20,15
150,-0.745743255130543,-0.308020122749158,-1.27188676735311,8,20,14
160,-0.701027842667398,-0.279548111295704,-1.09432284845232,11,20,14
170,-0.574495745763623,-0.115034701569718,-1.20254012272929,10,20,17
180,-0.718981321532585,-0.187317603827552,-1.30416666185072,12,20,17
190,-0.0599820828449907,0.419983012034402,-0.787765373505552,10,20,16
200,-0.270490366393099,0.475042490261852,-1.02546138551296,11,10,12
