"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,0.0599825182890559,1.04573327020494,-0.942997503423352,0,0,7,"CEAM"
-50,0.0599825182890559,1.04573327020494,-0.942997503423352,7,10,8,"CEAM"
-40,-0.0262411513287261,1.02800271863486,-1.15469971031611,7,20,8,"CEAM"
-30,0.292608944386888,1.27062452081662,-0.942910020423106,4,20,10,"CEAM"
-20,0.292683552512168,0.719106010388257,-0.276444571001434,7,20,8,"CEAM"
-10,0.223090011439643,0.729595754289238,-0.324766924484279,6,20,12,"CEAM"
0,-0.358461629731187,0.365373747586291,-0.910452194888749,7,20,15,"CEAM"
10,-0.180273260650055,0.281782722991556,-0.737003934155547,11,20,14,"CEAM"
20,-0.00561647362454215,0.381011820029714,-0.365556884574455,12,20,13,"CEAM"
30,-0.240349910418284,0.140088835555788,-0.628393395391903,8,20,14,"CEAM"
40,-0.437435009068416,0.0505161851604821,-0.879859544176582,9,20,14,"CEAM"
50,0.230418736561735,0.872269416904413,-0.429713574446876,12,20,16,"CEAM"
60,0.175200167648712,0.650460252260354,-0.181556943909909,12,20,17,"CEAM"
70,-0.285105035713154,0.0480705437961091,-0.651673548512302,12,20,15,"CEAM"
80,-0.147024767234047,0.286924765222644,-0.578063881653712,10,20,13,"CEAM"
90,0.446931077444558,0.816713337689285,0.0911900786018531,9,20,13,"CEAM"
100,-0.0551567936318455,0.507739995522212,-0.409645703513711,9,20,12,"CEAM"
110,-0.204365927512284,0.323922209900838,-0.6428589597969,8,20,17,"CEAM"
120,-0.215717758319538,0.226011894855665,-0.642843815373338,14,20,17,"CEAM"
130,-0.183279419058366,0.352089549407775,-0.637012795260047,15,20,15,"CEAM"
140,-0.2646921890844,0.23164151661983,-0.867135025482131,7,20,17,"CEAM"
150,0.0527810567672346,0.540789187448328,-0.441212887827707,9,20,11,"CEAM"
160,0.173396055423527,0.670909597461757,-0.37161632777365,9,20,13,"CEAM"
170,0.171833837493977,1.02320180289473,-0.616760815306743,8,20,14,"CEAM"
180,0.411184923741609,1.05723173614117,-0.128673732983461,10,20,13,"CEAM"
190,0.26664012124988,0.847290763088036,-0.608328123607004,9,20,14,"CEAM"
200,-0.306008632467533,0.488083267470847,-1.25356637873446,7,10,11,"CEAM"
