"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,-1.06436083416915,-0.676553165956617,-1.5218366649549,34,10,74,"TENA_E"
-50,-0.771313515115871,-0.552124460822923,-1.00972414986225,70,20,78,"TENA_E"
-40,-0.511386127880392,-0.285290886837406,-0.764455422733358,69,20,84,"TENA_E"
-30,-0.440820190640414,-0.25184462632234,-0.620011402871768,73,20,95,"TENA_E"
-20,-0.387095373649866,-0.205909130337473,-0.550224984141192,82,20,95,"TENA_E"
-10,-0.283584270492048,-0.105281922456957,-0.468556548170954,85,20,100,"TENA_E"
0,-0.0540279437355023,0.11638954082399,-0.223641969548837,89,20,103,"TENA_E"
10,0.0739044350250287,0.260429929305537,-0.103562090780302,86,20,106,"TENA_E"
20,0.168647091026476,0.333308148894138,0.00675376057516217,91,20,106,"TENA_E"
30,0.213436413017809,0.394638119227559,0.0354656379881314,93,20,107,"TENA_E"
40,0.150226870445377,0.326346909998466,-0.0134487522650489,89,20,110,"TENA_E"
50,0.10949685001125,0.272337769354558,-0.0333820205090548,89,20,107,"TENA_E"
60,0.0510492589476151,0.218749459899187,-0.116630618754546,92,20,105,"TENA_E"
70,-0.022200258707689,0.144507229872812,-0.189067969436054,85,20,100,"TENA_E"
80,-0.0791764282621528,0.0808143610119049,-0.240251597907374,80,20,101,"TENA_E"
90,-0.0355763912679914,0.120285359447721,-0.201521927709041,86,20,100,"TENA_E"
100,0.0320194106339492,0.201438680959109,-0.132871646954188,89,20,102,"TENA_E"
110,0.0376836024605719,0.215946842226046,-0.117940616977109,88,20,104,"TENA_E"
120,-0.0764167501213938,0.0780694690369294,-0.243422157300446,91,20,104,"TENA_E"
130,-0.0806805320688349,0.0867319720243577,-0.244985623121644,86,20,104,"TENA_E"
140,-0.0634138886009442,0.13687480589925,-0.254532993606001,83,20,103,"TENA_E"
150,-0.0385064901506331,0.173522136422189,-0.245864824063587,88,20,104,"TENA_E"
160,0.0274766229553224,0.231350225557035,-0.185605821916667,86,20,101,"TENA_E"
170,0.166006773066096,0.380869977036973,-0.0704667054723083,77,20,101,"TENA_E"
180,0.163363184675637,0.386128106350148,-0.0604109919732303,80,20,95,"TENA_E"
190,0.0383547933045766,0.243881154884698,-0.205897584057131,77,20,97,"TENA_E"
200,-0.168876281109709,0.130996625230545,-0.486218483295076,72,10,89,"TENA_E"
