"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,-0.184911616506772,0.285240664220536,-0.671440523124105,25,10,41,"BONA_W"
-50,-0.354565741951896,-0.0769329663913504,-0.675819151605777,41,20,46,"BONA_W"
-40,-0.21162754247745,0.0578322275593024,-0.436100270257935,45,20,49,"BONA_W"
-30,-0.0872979571542369,0.140901531936072,-0.264998064753757,47,20,50,"BONA_W"
-20,-0.00981404804586238,0.174906900652568,-0.175356312971413,47,20,49,"BONA_W"
-10,0.069631252901665,0.280277251202094,-0.126252226210187,44,20,53,"BONA_W"
0,0.0607297214058746,0.314830422039242,-0.195569829962891,48,20,50,"BONA_W"
10,0.221392005372831,0.453483046789669,0.00869827548209254,45,20,50,"BONA_W"
20,0.0118324630559006,0.216061188152793,-0.200714997570078,44,20,47,"BONA_W"
30,-0.162985932996462,0.105031675009331,-0.431145046412508,43,20,46,"BONA_W"
40,0.00160845538250637,0.230188990426411,-0.234608490957176,42,20,49,"BONA_W"
50,0.118223868779959,0.33979219280694,-0.0928248852961542,47,20,49,"BONA_W"
60,0.274214985103191,0.530772204896256,0.0288577601162411,43,20,50,"BONA_W"
70,0.275501791890539,0.496717514626172,0.0510511878386077,41,20,48,"BONA_W"
80,0.0814291229050045,0.269485085966881,-0.0923430595630751,43,20,46,"BONA_W"
90,0.0559817327946551,0.300218201185282,-0.160835899835429,43,20,47,"BONA_W"
100,-0.00464056610216546,0.247050632978804,-0.245032128203188,40,20,48,"BONA_W"
110,0.0848400048158898,0.350408275937611,-0.174174027406345,44,20,48,"BONA_W"
120,0.110939524609514,0.356956458953509,-0.132671326337382,45,20,49,"BONA_W"
130,0.0168328110257873,0.336523312704516,-0.210227516049881,39,20,49,"BONA_W"
140,-0.127757204283651,0.085041650697251,-0.310227483470478,40,20,47,"BONA_W"
150,-0.127291720638445,0.080430594763635,-0.341496555166389,40,20,46,"BONA_W"
160,-0.110575161593491,0.109726800421019,-0.319683833431408,36,20,47,"BONA_W"
170,-0.0578079375045306,0.191243038383482,-0.292967362435504,42,20,47,"BONA_W"
180,-0.10003178207432,0.159979099239588,-0.348711512003009,41,20,46,"BONA_W"
190,-0.198320207997496,0.0446220709879035,-0.411086759339055,42,20,48,"BONA_W"
200,-0.119990913976456,0.147851701654499,-0.363274557660362,44,10,46,"BONA_W"
