"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,-0.423763739640105,-0.177314056907271,-0.676325763332383,56,10,78,"EURO"
-50,-0.441108497265227,-0.234241311367715,-0.64684323599267,70,20,89,"EURO"
-40,-0.192072165952853,0.0123180945423624,-0.414215364766729,70,20,93,"EURO"
-30,-0.158933733146574,0.0165980060202822,-0.329975872803128,75,20,93,"EURO"
-20,-0.0874477265762272,0.0720679469902565,-0.263497288684347,81,20,96,"EURO"
-10,-0.0348972858376103,0.151708577593249,-0.234049606958357,71,20,139,"EURO"
0,-0.12093230666549,0.0117079824891262,-0.268155658567809,121,20,145,"EURO"
10,-0.146526697953829,0.00980559820926277,-0.307651587161432,100,20,158,"EURO"
20,0.00165966333938176,0.139150179832681,-0.137502910610469,116,20,137,"EURO"
30,0.0545942123000374,0.212263285298006,-0.0868190931023087,102,20,136,"EURO"
40,0.0524760807694525,0.204322983102594,-0.0884199283716249,91,20,130,"EURO"
50,0.0477074602787486,0.21993296131308,-0.120096086068876,104,20,136,"EURO"
60,0.133812129799932,0.301862239713873,-0.0290728980617843,101,20,138,"EURO"
70,0.051907444386429,0.23216014272084,-0.114374015328916,102,20,138,"EURO"
80,0.0767732174092081,0.259156791641702,-0.0922325340171502,104,20,140,"EURO"
90,0.072911980235308,0.253059440930334,-0.112854615938889,101,20,137,"EURO"
100,0.0659905046755945,0.210566697702822,-0.0811010947179651,106,20,136,"EURO"
110,-0.0247782082544111,0.138938435942962,-0.177257231561667,103,20,137,"EURO"
120,0.0190953050678129,0.186095090074028,-0.159024090641133,96,20,139,"EURO"
130,-0.0122846418293477,0.162011795486455,-0.172646673945933,102,20,145,"EURO"
140,0.0205409791891924,0.179353380137356,-0.144715544691849,106,20,141,"EURO"
150,0.0922380725954067,0.269465225704605,-0.0757072829468733,99,20,146,"EURO"
160,0.0390517762473952,0.230418334575249,-0.15317367342941,104,20,149,"EURO"
170,0.0455347215825031,0.232909553231789,-0.134032289514748,110,20,158,"EURO"
180,-0.0494553650318569,0.148926658924371,-0.228032061305345,109,20,152,"EURO"
190,-0.0524429575502166,0.159821846178112,-0.262593806862435,99,20,135,"EURO"
200,0.119587971773682,0.363271465226823,-0.117238873214716,80,10,113,"EURO"
