"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,-0.363589761845242,0.202959405054369,-0.905100210179236,18,10,36,"TENA_W"
-50,-0.221299099011833,0.0601043069720096,-0.513680144459321,36,20,39,"TENA_W"
-40,-0.138229674886638,0.145511004958455,-0.392333432594078,37,20,43,"TENA_W"
-30,-0.158731103505643,0.0836504789208844,-0.426445606375006,38,20,48,"TENA_W"
-20,-0.147114613281937,0.0907935030027595,-0.409265125819372,44,20,48,"TENA_W"
-10,-0.193969095120234,0.0507238153084062,-0.425188578042667,47,20,59,"TENA_W"
0,-0.311428596248199,-0.0846801849741704,-0.509142403509159,55,20,62,"TENA_W"
10,-0.192997273737089,0.00828454930994462,-0.380678776789577,55,20,63,"TENA_W"
20,-0.206473958666947,0.00309923242505666,-0.399522196095534,57,20,66,"TENA_W"
30,-0.1405952003711,0.0955898054626591,-0.365017402085012,59,20,68,"TENA_W"
40,-0.102634159253611,0.126244603945127,-0.343893105783777,59,20,67,"TENA_W"
50,-0.0788436094511781,0.143035986649525,-0.307197423924935,56,20,68,"TENA_W"
60,0.0139268694791957,0.227466776250879,-0.19372702724839,58,20,65,"TENA_W"
70,0.00490298716003936,0.256093079137241,-0.232446356540904,59,20,64,"TENA_W"
80,-0.0704982552423744,0.176368215847205,-0.293201819337586,54,20,65,"TENA_W"
90,0.124056874605088,0.383581451652633,-0.117030862389615,56,20,64,"TENA_W"
100,0.15304939560437,0.393379347095647,-0.0574359858545381,55,20,65,"TENA_W"
110,0.116270126038992,0.3355948953557,-0.141626035438172,57,20,64,"TENA_W"
120,0.109065499857933,0.336232453268022,-0.137647872044225,54,20,63,"TENA_W"
130,0.0571766864641427,0.35770723176365,-0.255475036477457,51,20,63,"TENA_W"
140,-0.0902021270929683,0.182428257113438,-0.360269144141175,52,20,65,"TENA_W"
150,-0.204519193712305,0.0256610367662845,-0.429158599410914,52,20,64,"TENA_W"
160,-0.0429652249068761,0.240228425737545,-0.287579568052511,52,20,66,"TENA_W"
170,0.120372258054491,0.41935598968666,-0.157102314408313,54,20,68,"TENA_W"
180,0.00870427383905491,0.230856611072011,-0.223633119255749,57,20,65,"TENA_W"
190,0.0960558137218874,0.311653541947229,-0.138845850628864,54,20,66,"TENA_W"
200,0.116091166954764,0.365739188184957,-0.184963825650371,52,10,61,"TENA_W"
