"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,-0.479761177454172,0.249349198925467,-1.12630358596933,13,10,20,"BONA_E"
-50,-0.284577602479658,0.0758846240158256,-0.668111004450833,17,20,23,"BONA_E"
-40,0.105988869542563,0.44984342383145,-0.263214119428554,19,20,22,"BONA_E"
-30,0.0888151760062215,0.376399548509879,-0.206620553858605,18,20,25,"BONA_E"
-20,-0.102440969094096,0.191885716727034,-0.531666322030239,20,20,24,"BONA_E"
-10,-0.180996597285739,0.228219809947562,-0.539527179339931,19,20,26,"BONA_E"
0,-0.339624832194586,-0.0819151996490736,-0.536895415903247,19,20,29,"BONA_E"
10,-0.354311235345666,0.0555701284575137,-0.653796286376574,25,20,32,"BONA_E"
20,-0.327492187154351,0.00991857835700618,-0.592232896921382,28,20,40,"BONA_E"
30,-0.261103042031037,0.034276154726091,-0.520869768770223,31,20,41,"BONA_E"
40,-0.0986321615918025,0.203886280763264,-0.401337091850089,32,20,41,"BONA_E"
50,-0.12559943551298,0.231275431633822,-0.492017735185277,31,20,40,"BONA_E"
60,0.062661947165655,0.360923309979699,-0.236629639410609,26,20,38,"BONA_E"
70,-0.00822301133310704,0.295923524821826,-0.334451870955573,28,20,40,"BONA_E"
80,-0.14984027478414,0.141820844095964,-0.418086251630513,34,20,39,"BONA_E"
90,-0.0611353357084873,0.250295364913116,-0.328629138380046,30,20,41,"BONA_E"
100,-0.161822887215661,0.109031590836473,-0.415428958894873,29,20,40,"BONA_E"
110,-0.0732934448990065,0.157907356680808,-0.302889553994669,31,20,42,"BONA_E"
120,0.253155747428208,0.513776251344158,-0.010375628469424,32,20,41,"BONA_E"
130,0.321398851548087,0.660498172426899,-0.0496689382464622,27,20,37,"BONA_E"
140,0.345514162769215,0.664044061943424,-0.00883585212354723,27,20,35,"BONA_E"
150,0.407227451252276,0.778299014492599,0.000490942665646924,23,20,35,"BONA_E"
160,0.279192262527649,0.680448682955609,-0.0913782832319957,28,20,37,"BONA_E"
170,0.112608571129095,0.47830226625048,-0.230719117853707,30,20,39,"BONA_E"
180,-0.0537835211657573,0.293022998636909,-0.37670081432322,29,20,40,"BONA_E"
190,-0.0601735800422684,0.252112719123464,-0.436504060185469,26,20,38,"BONA_E"
200,0.0129008241759032,0.429677572281018,-0.492395415055119,27,10,32,"BONA_E"
