"","x"
"1",26
"2",82
"3",83
"4",111
"5",112
"6",113
"7",117
"8",120
"9",121
"10",122
"11",127
"12",247
"13",305
"14",403
"15",404
"16",419
"17",420
"18",421
"19",422
"20",423
"21",424
"22",537
"23",567
"24",568
"25",739
"26",803
"27",1331
"28",1337
"29",1409
"30",1468
"31",1840
"32",1910
"33",1932
"34",1933
"35",1935
"36",1947
"37",1948
"38",1950
"39",1957
"40",1961
"41",1981
"42",1982
"43",1983
"44",1997
"45",2001
"46",2004
"47",2012
"48",2013
"49",2018
"50",2019
"51",2020
"52",2021
"53",2022
"54",2095
"55",2212
"56",2397
