"","x"
"1",271
"2",302
"3",324
"4",456
"5",457
"6",467
"7",704
"8",705
"9",1332
"10",1333
"11",1364
"12",1368
"13",1369
"14",1370
"15",1371
"16",1372
"17",1373
"18",1374
"19",1387
"20",1389
"21",1390
"22",1393
"23",1396
"24",1398
"25",1399
"26",1404
"27",1411
"28",1417
"29",1421
"30",1439
"31",1460
"32",1488
"33",1490
"34",1491
"35",1508
"36",1518
"37",1521
"38",1523
"39",1572
"40",1850
"41",1851
"42",1852
"43",1853
"44",1854
"45",1855
"46",1856
"47",1857
"48",1858
"49",1859
"50",1860
"51",1861
"52",1862
"53",2108
"54",2110
"55",2111
"56",2112
"57",2113
"58",2114
"59",2115
"60",2116
"61",2430
"62",2433
