"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,-0.3662871907259,0.283076957955116,-1.08428099549249,13,20,20,"BONA_E"
-50,-0.284099442758957,0.0765785552035895,-0.668572676099075,17,20,23,"BONA_E"
-40,0.102159772694128,0.445762238337351,-0.262331866903228,19,20,22,"BONA_E"
-30,0.0935342456445254,0.39200696689952,-0.202488698672149,18,20,25,"BONA_E"
-20,-0.0967022249027045,0.188936984076269,-0.483118080924808,20,20,24,"BONA_E"
-10,-0.234562076559313,0.203260714530237,-0.542044664529485,19,20,26,"BONA_E"
0,-0.349797959526581,-0.0874482204128137,-0.549714282039381,19,20,29,"BONA_E"
10,-0.352926090388758,0.050754002298242,-0.64618350318051,25,20,32,"BONA_E"
20,-0.326129476982642,0.0199024918824568,-0.588659003316196,28,20,40,"BONA_E"
30,-0.255112015868149,0.0357263987870559,-0.516851531475771,31,20,41,"BONA_E"
40,-0.104805654928765,0.217297954259193,-0.415932691117085,32,20,41,"BONA_E"
50,-0.112178872679617,0.23293412251833,-0.447321822163131,31,20,40,"BONA_E"
60,0.065144627321633,0.371016716120416,-0.235169044620893,26,20,38,"BONA_E"
70,-0.00822301133310704,0.295923524821826,-0.334451870955573,28,20,40,"BONA_E"
80,-0.15017213438363,0.139847455014827,-0.421351277831957,34,20,39,"BONA_E"
90,-0.0701073281643972,0.226813589918842,-0.326114131886461,30,20,41,"BONA_E"
100,-0.167431168130583,0.109652559267722,-0.430299455975525,29,20,40,"BONA_E"
110,-0.0756206137469831,0.159238893051347,-0.311121467825943,31,20,42,"BONA_E"
120,0.249128624012488,0.507886866792189,-0.0112067627947316,32,20,41,"BONA_E"
130,0.319396498369795,0.656269200581268,-0.0471804243794584,27,20,37,"BONA_E"
140,0.347271864475642,0.670353918926192,-0.02091160211966,27,20,35,"BONA_E"
150,0.405572740720445,0.77947456093902,0.00246169080714571,23,20,35,"BONA_E"
160,0.276129334950157,0.657788071062838,-0.0770348008478519,28,20,37,"BONA_E"
170,0.11443511674993,0.486274708951326,-0.242586912786171,30,20,39,"BONA_E"
180,-0.0523379630745677,0.291755970655604,-0.371105833546745,29,20,40,"BONA_E"
190,-0.0596568945496909,0.253733870745624,-0.440266370630877,26,20,38,"BONA_E"
200,0.0154673160480371,0.430036701019419,-0.454359976175444,27,20,39,"BONA_E"
