"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,-0.422751811202935,-0.182194447960673,-0.674622224934332,56,20,78,"EURO"
-50,-0.440544529213853,-0.243747977281064,-0.647003376060029,70,20,89,"EURO"
-40,-0.194147465250673,0.011171906822437,-0.42197812143257,70,20,93,"EURO"
-30,-0.160223146580426,0.0217239068310661,-0.344288105257997,75,20,93,"EURO"
-20,-0.0886027242097871,0.0658253657381688,-0.263060970193312,81,20,96,"EURO"
-10,-0.0395007769338882,0.140298094783233,-0.233507677292457,71,20,139,"EURO"
0,-0.125740382775782,0.012124330334954,-0.26858393105669,121,20,145,"EURO"
10,-0.144589689594984,0.0147319798322567,-0.319633586381114,100,20,158,"EURO"
20,-0.000211228691231635,0.152147713727432,-0.141826118626635,116,20,137,"EURO"
30,0.0513709771952548,0.212318456118178,-0.10574401685115,102,20,136,"EURO"
40,0.0522560753407007,0.220307661272956,-0.0852610987788015,91,20,130,"EURO"
50,0.0535115282727482,0.216403160968283,-0.105655053214749,104,20,136,"EURO"
60,0.135207493123145,0.303821729494568,-0.0316304496945942,101,20,138,"EURO"
70,0.051907444386429,0.239760208261644,-0.111388114899932,102,20,138,"EURO"
80,0.0774421746873772,0.262040920151343,-0.0776691043921932,104,20,140,"EURO"
90,0.0720705520779559,0.250228266601609,-0.103374553814639,101,20,137,"EURO"
100,0.0696733558860632,0.217454217914564,-0.0763085617179464,106,20,136,"EURO"
110,-0.0257601699798621,0.124070641295264,-0.181421513202436,103,20,137,"EURO"
120,0.017868829969393,0.176051835719734,-0.158924699410797,96,20,139,"EURO"
130,-0.0115246070261098,0.159393960273321,-0.171349867718046,102,20,145,"EURO"
140,0.0189703738931838,0.177323510007068,-0.146121438492543,106,20,141,"EURO"
150,0.0924537121806674,0.27224933915595,-0.0796374218007267,99,20,146,"EURO"
160,0.0416363367867392,0.239358523448525,-0.141513907643765,104,20,149,"EURO"
170,0.0516716864334726,0.242299756877584,-0.145797767464174,110,20,158,"EURO"
180,-0.0486186077420518,0.138243389670267,-0.231592417588672,109,20,152,"EURO"
190,-0.0515379998681571,0.153137543878204,-0.260737494187372,99,20,135,"EURO"
200,0.110327021201324,0.333088778518502,-0.127580026950745,80,20,123,"EURO"
