"","x"
"1",173
"2",388
"3",389
"4",783
"5",790
"6",847
"7",2031
"8",2037
"9",2040
"10",2042
"11",2045
"12",2046
"13",2047
"14",2053
"15",2137
"16",2138
"17",2141
"18",2161
"19",2208
"20",2306
"21",2315
"22",2316
"23",2323
"24",2325
"25",2326
"26",2327
"27",2328
"28",2330
"29",2347
"30",2350
"31",2357
"32",2364
"33",2368
"34",2372
"35",2374
"36",2408
"37",2413
