"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,-0.456631757985185,0.171145208996944,-0.974103562233768,18,20,36,"TENA_W"
-50,-0.221623861425249,0.0597594188617446,-0.515346441688642,36,20,39,"TENA_W"
-40,-0.139203146982323,0.141138279857577,-0.393447335019224,37,20,43,"TENA_W"
-30,-0.162349142490884,0.0836764179410542,-0.432894288404941,38,20,48,"TENA_W"
-20,-0.147598794080432,0.085740608100988,-0.402670701615984,44,20,48,"TENA_W"
-10,-0.195619468735698,0.0501777538927758,-0.426129937711071,47,20,59,"TENA_W"
0,-0.320731870057361,-0.0914530655448133,-0.509526734943246,55,20,62,"TENA_W"
10,-0.194267919439296,0.00522351525218259,-0.381214500990663,55,20,63,"TENA_W"
20,-0.204969857645606,0.00529208901957629,-0.403122040222489,57,20,66,"TENA_W"
30,-0.139972769951625,0.0935022203362815,-0.362239282979029,59,20,68,"TENA_W"
40,-0.100397503302943,0.130307693778408,-0.346497682441985,59,20,67,"TENA_W"
50,-0.0753646925242913,0.142962109995577,-0.296744174794543,56,20,68,"TENA_W"
60,0.0155886343458773,0.229269232904689,-0.195494615709677,58,20,65,"TENA_W"
70,0.00490298716003937,0.255320128125191,-0.227043493273519,59,20,64,"TENA_W"
80,-0.0744745673346751,0.170816165851054,-0.30302632914445,54,20,65,"TENA_W"
90,0.113407818353706,0.365980250313263,-0.119418088249866,56,20,64,"TENA_W"
100,0.156243302195181,0.408486245566409,-0.0655817354235075,55,20,65,"TENA_W"
110,0.118316689980902,0.343635455217514,-0.133055615219436,57,20,64,"TENA_W"
120,0.108853496684305,0.33856305277042,-0.138314956775955,54,20,63,"TENA_W"
130,0.0558337783706836,0.363510776460684,-0.255079805966563,51,20,63,"TENA_W"
140,-0.0893602555029838,0.191503255173827,-0.368812314066015,52,20,65,"TENA_W"
150,-0.203195462020532,0.0233966906192762,-0.432356961390648,52,20,64,"TENA_W"
160,-0.0375762510045014,0.240489837896227,-0.281807503218706,52,20,66,"TENA_W"
170,0.126997736964218,0.42659362941891,-0.157114074292369,54,20,68,"TENA_W"
180,0.0104038082946549,0.23127659387831,-0.232085026438156,57,20,65,"TENA_W"
190,0.0948581966340647,0.314288956832234,-0.143791987796995,54,20,66,"TENA_W"
200,0.11383647314227,0.355404890606217,-0.18498606579691,52,20,62,"TENA_W"
