age,locfit,cu95,cl95,nsites,window,nsamples,Region
-60,0.318465276,1.114484675,-0.319436867,9,20,27,AUST
-50,-0.133891137,0.279303057,-0.604288316,27,20,36,AUST
-40,-0.365065815,0.000447043,-0.731479886,27,20,40,AUST
-30,-0.107394476,0.242312508,-0.466722195,28,20,37,AUST
-20,-0.043293879,0.286041296,-0.415061554,25,20,35,AUST
-10,0.108485507,0.355121076,-0.129931904,26,20,56,AUST
0,-0.007077283,0.237851807,-0.239998326,48,20,56,AUST
10,0.104033736,0.414971672,-0.203339247,35,20,58,AUST
20,0.016310683,0.291852262,-0.24689252,37,20,47,AUST
30,0.039213733,0.275210387,-0.204485097,37,20,48,AUST
40,0.02478799,0.225277332,-0.182465125,41,20,51,AUST
50,-0.216243129,0.060569292,-0.49662846,39,20,53,AUST
60,-0.060440143,0.233458257,-0.359630434,36,20,53,AUST
70,0.152249024,0.347737962,-0.029726917,39,20,50,AUST
80,0.104258239,0.360863713,-0.131951539,35,20,49,AUST
90,-0.01765667,0.226401879,-0.290076302,32,20,49,AUST
100,-0.172882871,0.117253671,-0.462930358,33,20,50,AUST
110,-0.255033253,0.116614604,-0.577420792,27,20,48,AUST
120,-0.005544921,0.312485113,-0.336239751,31,20,41,AUST
130,-0.116401164,0.25814383,-0.476648008,30,20,40,AUST
140,-0.04311275,0.322275263,-0.406753149,28,20,39,AUST
150,0.05365274,0.439338837,-0.353012057,27,20,40,AUST
160,0.148382273,0.482187706,-0.204086152,28,20,39,AUST
170,-0.136898824,0.160280854,-0.458885673,31,20,39,AUST
180,-0.339836534,0.17833041,-0.811177493,26,20,42,AUST
190,-0.005942748,0.395701879,-0.388250872,27,20,40,AUST
200,0.011590297,0.386489943,-0.401357642,31,20,39,AUST
