age,locfit,cu95,cl95,nsites,window,nsamples,Region
-60,0.059982518,1.04573327,-0.942997503,0,20,7,CEAM
-50,0.059982518,1.04573327,-0.942997503,7,20,8,CEAM
-40,-0.031896434,1.029447753,-1.197677971,7,20,8,CEAM
-30,0.372331154,1.517241628,-1.226352102,4,20,10,CEAM
-20,0.309783312,0.717637167,-0.26239471,7,20,8,CEAM
-10,0.225348948,0.731996931,-0.336658155,6,20,12,CEAM
0,-0.407203007,0.400671136,-1.013040839,7,20,15,CEAM
10,-0.17297129,0.311943744,-0.775999985,11,20,14,CEAM
20,-0.014740545,0.365212833,-0.363449511,12,20,13,CEAM
30,-0.245023759,0.149637899,-0.6359671,8,20,14,CEAM
40,-0.543533522,0.002906931,-1.007008757,9,20,14,CEAM
50,0.227789288,0.86246683,-0.439114582,12,20,16,CEAM
60,0.176967333,0.654644988,-0.177290516,12,20,17,CEAM
70,-0.30559161,0.03338868,-0.677003947,12,20,15,CEAM
80,-0.187489563,0.2718043,-0.658210935,10,20,13,CEAM
90,0.399143514,0.74497669,0.056077556,9,20,13,CEAM
100,-0.062015918,0.518699826,-0.433905774,9,20,12,CEAM
110,-0.217425338,0.344879453,-0.699593212,8,20,17,CEAM
120,-0.219500971,0.241925762,-0.66112219,14,20,17,CEAM
130,-0.184376663,0.322041919,-0.636717611,15,20,15,CEAM
140,-0.290133011,0.240007789,-0.927154315,7,20,17,CEAM
150,0.070697429,0.5561786,-0.46909136,9,20,11,CEAM
160,0.17226319,0.667080383,-0.355944874,9,20,13,CEAM
170,0.167319366,1.031022364,-0.643186835,8,20,14,CEAM
180,0.436731281,1.086895287,-0.123911706,10,20,13,CEAM
190,0.283623832,0.918661597,-0.62365485,9,20,14,CEAM
200,-0.257776366,0.445826966,-1.21330782,7,20,13,CEAM
