"","x"
"1",1
"2",4
"3",5
"4",6
"5",7
"6",9
"7",13
"8",19
"9",21
"10",23
"11",25
"12",37
"13",38
"14",41
"15",42
"16",44
"17",48
"18",54
"19",55
"20",57
"21",58
"22",67
"23",68
"24",129
"25",137
"26",138
"27",139
"28",141
"29",142
"30",145
"31",163
"32",192
"33",193
"34",194
"35",195
"36",196
"37",253
"38",254
"39",319
"40",321
"41",347
"42",361
"43",425
"44",429
"45",544
"46",791
"47",792
"48",822
"49",823
"50",824
"51",839
"52",840
"53",841
"54",842
"55",845
"56",846
"57",850
"58",851
"59",852
"60",856
"61",937
"62",1423
"63",1427
"64",1429
"65",1441
"66",1442
"67",1443
"68",1445
"69",1465
"70",1784
"71",1788
"72",1789
"73",1792
"74",1793
"75",1797
"76",1798
"77",1802
"78",2025
"79",2062
"80",2063
"81",2064
"82",2065
"83",2067
"84",2098
"85",2157
"86",2165
"87",2232
"88",2255
"89",2256
