"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT","min(c.original_est_age)","min(am.mean)"
1474,1891,"Picea Lake core",65.88162,-145.58768,269,"lake sediment","Sieved","raw count","author","central core","2021-02-18",113,-57,NA
1475,1892,"Reunion Lake core",66.00925,-146.1078,306,"lake sediment","Sieved","raw count","author","central core","2021-02-18",113,-59,NA
1476,1893,"Robinson Lake core",65.97158,-145.69925,-999999,"lake sediment","Sieved","raw count","author","central core","2021-02-18",113,-57,NA
1477,1894,"Screaming Lynx Lake core",66.06815,-145.4044,276,"lake sediment","Sieved","raw count","author","central core","2021-02-18",113,-56,NA
1478,1895,"West Crazy Lake core",65.89142,-145.62195,-999999,"lake sediment","Sieved","raw count","author","central core","2021-02-18",113,-56,NA
1479,1896,"Windy Lake core",66.04169,-145.75471,-999999,"lake sediment","Sieved","raw count","author","central core","2021-02-18",113,-57,NA
1599,2029,"Laguna EkNaab core",17.421145,-89.236475,160,"lake sediment","Sieved","raw count","Neotoma","central core","2021-03-04",231,-39,824
1601,2031,"Laguna Cocha Caranga core",-4.045861,-79.159583,2710,"lake sediment","Pollen slide","raw count","Neotoma","central core","2021-03-04",233,-19,-55
1601,2032,"Cocha Caranga Forest core",-4.045861,-79.159583,2700,"soil","Pollen slide","raw count","Neotoma","central core","2021-03-04",233,-55,NA
1601,2033,"Cocha Caranga Mire core",-4.045861,-79.159583,2710,"bog sediment","Pollen slide","raw count","Neotoma","central core","2021-03-04",233,44,-25
1608,2042,"Cerro Toledo CT core",-4.374611,-79.111528,3150,"bog sediment","Pollen slide","raw count","Neotoma","-999999","2021-03-04",240,25,0
1608,2043,"Cerro Toledo CTB core",-4.374611,-79.111528,3110,"bog sediment","Pollen slide","raw count","Neotoma","-999999","2021-03-04",240,-55,299
1609,2044,"Rabadilla de Vaca mire core",-4.256583,-79.120917,3200,"bog sediment","Pollen slide","raw count","Neotoma","central core","2021-03-04",240,-55,0
1610,2045,"Valle Pequeno core",-4.116083,-79.172056,3244,"bog sediment","Pollen slide","raw count","Neotoma","central core","2021-03-04",240,-27,-14
1612,2047,"Laguna Zurita core",-3.974667,-79.117611,2590,"lake sediment","Pollen slide","raw count","Neotoma","central core","2021-03-04",242,-50,-34
1617,2053,"Lagunas Natosas Bosque core",-4.730417,-79.424064,3495,"bog sediment","Pollen slide","raw count","Neotoma","central core","2021-03-04",240,-21,94
1620,2056,"Haircut Lake Core A count",60.515555,-133.205555,1000,"lake sediment","Sieved","count","author","central core","2021-05-08",185,-54,NA
1634,2073,"Chickaree composite core",40.334125,-105.841095,2796,"lake sediment","Sieved","raw count","Neotoma","central core","2021-03-12",34,-1,-58
1643,2087,"Marcella Lake Core Z count",60.0736111,-133.807777,697,"lake sediment","Sieved","raw count","author","central core","2021-03-19",185,-54,NA
1718,2164,"URCB composite_250",47.04,-115.88,1710,"bog sediment","Sieved","raw count","author","central core","2021-03-26",212,-13,NA
1718,2165,"URCB composite_150",47.04,-115.88,1710,"bog sediment","Sieved","raw count","author","central core","2021-03-26",182,-13,NA
1805,2260,"JC11_K5",53.87417,18.23667,109,"lake sediment","sieved","count","Pangaea","central core","2021-05-04",137,-54,NA
1806,2261,"Dalane core",58.244167,8.004445,40,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1807,2262,"Holebudalen core",59.841389,6.008611,1144,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1808,2263,"Lille Kjelavatn core",59.796111,7.001944,978,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1809,2264,"Flotatjonn core",59.67027,7.54055,890,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1810,2265,"Bjornfjelltjorn core",68.44416,18.07166,510,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1811,2266,"Litlvatnet core",68.52694,14.93083,106,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1812,2267,"Myrvatnet core",68.66055,16.38138,197,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1813,2268,"Gammelheimenvatnet core",68.48222,17.75944,290,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
