"ID_SITE","ID_ENTITY","ID_SAMPLE","entity_name","avg_depth","charcoal_measurement","original_est_age","TYPE"
26,45,17481,"Howes Prairie Marsh core",0,123,-22,"concentration"
26,45,17482,"Howes Prairie Marsh core",0.01,41,-5,"concentration"
26,45,17483,"Howes Prairie Marsh core",0.02,83,13,"concentration"
26,45,17484,"Howes Prairie Marsh core",0.03,275,37,"concentration"
26,45,17485,"Howes Prairie Marsh core",0.04,851,69,"concentration"
26,45,17486,"Howes Prairie Marsh core",0.05,527,110,"concentration"
26,45,17487,"Howes Prairie Marsh core",0.06,92,164,"concentration"
26,45,17488,"Howes Prairie Marsh core",0.08,91,317,"concentration"
26,45,17489,"Howes Prairie Marsh core",0.1,54,527,"concentration"
26,45,17490,"Howes Prairie Marsh core",0.12,17,794,"concentration"
26,45,17491,"Howes Prairie Marsh core",0.14,34.5,1111,"concentration"
26,45,17492,"Howes Prairie Marsh core",0.16,52,1468,"concentration"
26,45,17493,"Howes Prairie Marsh core",0.18,35,1853,"concentration"
26,45,17494,"Howes Prairie Marsh core",0.2,18,2256,"concentration"
26,45,17495,"Howes Prairie Marsh core",0.22,21,2666,"concentration"
26,45,17496,"Howes Prairie Marsh core",0.24,24,3078,"concentration"
26,45,17497,"Howes Prairie Marsh core",0.26,12,3492,"concentration"
97,133,27348,"Lac Francis core",0.06,6.25,-50,"influx"
97,133,27349,"Lac Francis core",0.07,4.9,-42,"influx"
97,133,27350,"Lac Francis core",0.08,5.3,-34,"influx"
97,133,27351,"Lac Francis core",0.09,3.05,-27,"influx"
97,133,27352,"Lac Francis core",0.1,2.56,-15,"influx"
97,133,27353,"Lac Francis core",0.11,3.99,-4,"influx"
97,133,27354,"Lac Francis core",0.12,1.28,7,"influx"
97,133,27355,"Lac Francis core",0.13,1.25,27,"influx"
97,133,27356,"Lac Francis core",0.14,2.89,47,"influx"
97,133,27357,"Lac Francis core",0.15,4.47,67,"influx"
97,133,27358,"Lac Francis core",0.16,2.54,87,"influx"
97,133,27359,"Lac Francis core",0.17,1.4,107,"influx"
97,133,27360,"Lac Francis core",0.18,1.59,127,"influx"
97,133,27361,"Lac Francis core",0.19,1.23,147,"influx"
97,133,27362,"Lac Francis core",0.2,1.96,168,"influx"
97,133,27363,"Lac Francis core",0.21,0.77,188,"influx"
97,133,27364,"Lac Francis core",0.22,0.96,217,"influx"
97,133,27365,"Lac Francis core",0.23,0.97,246,"influx"
97,133,27366,"Lac Francis core",0.24,1.16,275,"influx"
97,133,27367,"Lac Francis core",0.25,1.17,302,"influx"
97,133,27368,"Lac Francis core",0.26,2,329,"influx"
97,133,27369,"Lac Francis core",0.27,1.39,356,"influx"
97,133,27370,"Lac Francis core",0.28,2.4,376,"influx"
97,133,27371,"Lac Francis core",0.29,3.17,395,"influx"
97,133,27372,"Lac Francis core",0.3,2.09,414,"influx"
97,133,27373,"Lac Francis core",0.31,2.18,431,"influx"
97,133,27374,"Lac Francis core",0.32,1.96,448,"influx"
97,133,27375,"Lac Francis core",0.33,2.39,465,"influx"
97,133,27376,"Lac Francis core",0.34,2.74,480,"influx"
97,133,27377,"Lac Francis core",0.35,2.95,494,"influx"
97,133,27378,"Lac Francis core",0.36,1.86,509,"influx"
97,133,27379,"Lac Francis core",0.37,3.27,522,"influx"
97,133,27380,"Lac Francis core",0.38,4.19,535,"influx"
97,133,27381,"Lac Francis core",0.39,3.66,549,"influx"
97,133,27382,"Lac Francis core",0.4,2.97,560,"influx"
97,133,27383,"Lac Francis core",0.41,3.48,572,"influx"
97,133,27384,"Lac Francis core",0.42,2.9,584,"influx"
97,133,27385,"Lac Francis core",0.43,2.56,595,"influx"
97,133,27386,"Lac Francis core",0.44,4.08,605,"influx"
97,133,27387,"Lac Francis core",0.45,5.25,616,"influx"
97,133,27388,"Lac Francis core",0.46,3.62,626,"influx"
97,133,27389,"Lac Francis core",0.47,3.87,636,"influx"
97,133,27390,"Lac Francis core",0.48,5.07,646,"influx"
97,133,27391,"Lac Francis core",0.49,5.15,655,"influx"
97,133,27392,"Lac Francis core",0.5,3.3,664,"influx"
97,133,27393,"Lac Francis core",0.51,4.32,673,"influx"
97,133,27394,"Lac Francis core",0.52,3.45,682,"influx"
97,133,27395,"Lac Francis core",0.53,3.7,690,"influx"
97,133,27396,"Lac Francis core",0.54,3.99,698,"influx"
97,133,27397,"Lac Francis core",0.55,3.1,706,"influx"
97,133,27398,"Lac Francis core",0.56,5.03,714,"influx"
97,133,27399,"Lac Francis core",0.57,2.97,722,"influx"
97,133,27400,"Lac Francis core",0.58,4.45,730,"influx"
97,133,27401,"Lac Francis core",0.59,4.04,738,"influx"
97,133,27402,"Lac Francis core",0.6,3.69,746,"influx"
97,133,27403,"Lac Francis core",0.61,2.21,755,"influx"
97,133,27404,"Lac Francis core",0.62,3.39,764,"influx"
97,133,27405,"Lac Francis core",0.63,2.4,773,"influx"
97,133,27406,"Lac Francis core",0.64,2.76,783,"influx"
97,133,27407,"Lac Francis core",0.65,3.47,793,"influx"
97,133,27408,"Lac Francis core",0.66,1.98,803,"influx"
97,133,27409,"Lac Francis core",0.67,3.23,814,"influx"
97,133,27410,"Lac Francis core",0.68,5.07,826,"influx"
97,133,27411,"Lac Francis core",0.69,3.1,837,"influx"
97,133,27412,"Lac Francis core",0.7,2.99,850,"influx"
97,133,27413,"Lac Francis core",0.71,2.5,862,"influx"
97,133,27414,"Lac Francis core",0.72,2.07,875,"influx"
97,133,27415,"Lac Francis core",0.73,2.76,890,"influx"
97,133,27416,"Lac Francis core",0.74,1.95,904,"influx"
97,133,27417,"Lac Francis core",0.75,2.6,918,"influx"
97,133,27418,"Lac Francis core",0.76,2.04,934,"influx"
97,133,27419,"Lac Francis core",0.77,3.04,951,"influx"
97,133,27420,"Lac Francis core",0.78,2.12,967,"influx"
97,133,27421,"Lac Francis core",0.79,2.41,985,"influx"
97,133,27422,"Lac Francis core",0.8,3.22,1003,"influx"
97,133,27423,"Lac Francis core",0.81,2.4,1021,"influx"
97,133,27424,"Lac Francis core",0.82,1.05,1043,"influx"
97,133,27425,"Lac Francis core",0.83,0.72,1064,"influx"
97,133,27426,"Lac Francis core",0.84,0.85,1086,"influx"
97,133,27427,"Lac Francis core",0.85,0.56,1110,"influx"
97,133,27428,"Lac Francis core",0.86,1.6,1135,"influx"
97,133,27429,"Lac Francis core",0.87,1.31,1159,"influx"
97,133,27430,"Lac Francis core",0.88,1.79,1186,"influx"
97,133,27431,"Lac Francis core",0.89,0.84,1213,"influx"
97,133,27432,"Lac Francis core",0.9,0.89,1239,"influx"
97,133,27433,"Lac Francis core",0.91,0.58,1267,"influx"
97,133,27434,"Lac Francis core",0.92,1.81,1295,"influx"
97,133,27435,"Lac Francis core",0.93,0.88,1322,"influx"
97,133,27436,"Lac Francis core",0.94,1.2,1350,"influx"
97,133,27437,"Lac Francis core",0.95,0.94,1377,"influx"
97,133,27438,"Lac Francis core",0.96,1.36,1405,"influx"
97,133,27439,"Lac Francis core",0.97,1.56,1431,"influx"
97,133,27440,"Lac Francis core",0.98,1.33,1457,"influx"
97,133,27441,"Lac Francis core",0.99,1.26,1482,"influx"
97,133,27442,"Lac Francis core",1,3.2,1506,"influx"
97,133,27443,"Lac Francis core",1.01,1.36,1529,"influx"
97,133,27444,"Lac Francis core",1.02,1.19,1553,"influx"
97,133,27445,"Lac Francis core",1.03,2.1,1573,"influx"
97,133,27446,"Lac Francis core",1.04,2.56,1593,"influx"
97,133,27447,"Lac Francis core",1.05,4.35,1613,"influx"
97,133,27448,"Lac Francis core",1.06,5.68,1631,"influx"
97,133,27449,"Lac Francis core",1.07,6.13,1648,"influx"
97,133,27450,"Lac Francis core",1.08,1.52,1665,"influx"
