"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT"
725,822,"Three Creeks core",44.09,-121.62,1996,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
726,823,"Todd Lake core",44.02,-121.68,1875,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
727,824,"Tumalo Lake core",44.02,-121.54,1536,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
742,839,"Campbell Lake CA core",41.532802,-123.105499,1750,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
743,840,"Sanger Lake CA core",41.901658,-123.648973,1547,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
744,841,"Taylor Lake CA core",41.36144,-122.968648,1979,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
745,842,"USL core",42.03,-123.01,930,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
748,845,"Wildcat Lake core",37.96,-122.78,67,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",10
749,846,"Glenmire core 3",37.99,-122.77,399,"bog sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",10
753,850,"Lake Oswego core",45.41,-122.66,30,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-16",11
754,851,"Porter Lake core",44.44,-123.24,73,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
755,852,"Warner Lake core",44.24,-122.95,590,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
759,856,"Five Lakes core",48.08,-118.92,780,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",10
840,937,"Mt Constitution C38 core",48.67642,-122.838074,735,"-777777","Sieved","concentration","Global Charcoal Database Version 4","-888888","2021-05-07",13
952,1423,"Clayoquot Core",49.25,-125.5,15,"lake sediment","Sieved","concentration","IMPD","-777777","2021-05-07",88
7,1427,"Foy Core",48.16,-114.35,1006,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2020-03-13",11
39,1429,"Frozen Lake core",49.6,-121.46,1180,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
40,1441,"Mount Barr Cirque core",49.26,-121.51,1376,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
838,1442,"Mt Constitution C11 core",48.659979,-122.833612,611,"small hollow","Sieved","concentration","Global Charcoal Database Version 3","central core","2021-05-07",13
839,1443,"Mt Constitution C32 core",48.664006,-122.838676,611,"small hollow","Sieved","concentration","Global Charcoal Database Version 3","central core","2021-05-07",13
837,1445,"Panther Core",48.65,-121.0333,1100,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
193,1465,"BG04A",45.8,-122.49,154,"lake sediment","Sieved","influx","Global Charcoal Database Version 3","central core","2021-05-07",10
1377,1784,"Abalone Rocks Marsh core",33.956389,-119.976667,0,"bog sediment","pollen slide","count","IMPD","-999999","2021-02-15",137
1381,1788,"Lake Eileen core",40.902,-106.673,3135,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1382,1789,"Gold Creek Lake core",40.781,-106.678,2917,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1383,1790,"Gem Lake Colorado core",40.881,-106.734,3101,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1385,1792,"Hinman Lake core",40.771,-106.827,2501,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1386,1793,"Middle Rainbow Lake core",40.648,-106.624,3001,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1387,1794,"Round Lake MZ core",40.473,-106.663,3071,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1388,1795,"Seven Lake MZ core",40.896,-106.681,3276,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1389,1796,"Teal Lake CO core",40.583,-106.608,2689,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1390,1797,"Whale Lake MZ core",40.556,-106.675,3059,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1391,1798,"Summit Lake MZ core",40.545,-106.682,3149,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1395,1802,"Tiago Lake MZ core",40.579,-106.613,2700,"lake sediment","sieved","count","IMPD","central core","2021-02-15",34
1596,2025,"Little Lake core 93",44.167778,-123.582222,210,"bog sediment","Sieved","influx","author","central core","2021-03-04",10
1624,2062,"Lone Pine composite",40.2327333,-105.73165,3016,"lake sediment","Sieved","concentration","author","central core","2021-03-12",11
1625,2063,"Odessa Lake composite",40.3303667,-105.6854,3051,"lake sediment","Sieved","concentration","author","central core","2021-03-12",11
1626,2064,"Sand Beach composite",40.2187667,-105.6018,3140,"lake sediment","Sieved","concentration","author","central core","2021-03-12",11
1627,2065,"Thunder Lake composite",40.2219,-105.6472833,3231,"lake sediment","Sieved","concentration","author","central core","2021-03-12",11
1629,2067,"Yahoo Lake core",47.683333,-124.016667,710,"lake sediment","Sieved","concentration","author","central core","2021-03-12",88
1653,2098,"Rice lake core",48,-101.53333,620,"lake sediment","Sieved","concentration","author","central core","2021-03-25",11
1712,2157,"ODP hole 893A",34.28,-120.03,-577,"marine sediment","Pollen slide","concentration","Pangaea","-888888","2021-03-26",22
1781,2232,"Swamp Lake core",37.95,-119.816667,1554,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2021-04-16",128
1802,2255,"Kettle Lake core",48.607198,-103.623723,610,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-04-29",149
1803,2256,"Beef Pasture core H 25-50µm",37.41,-108.15,3060,"bog sediment","pollen slide","concentration","global charcoal database version 4","central core","2021-05-04",89
