"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT"
26,45,"Howes Prairie Marsh core",41.65,-87.07,185,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",137
97,133,"Lac Francis core",48.5264,-79.4722,305,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
98,134,"Pas-de-Fond core",48.8083,-78.8083,290,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
130,167,"Ferry Lake core",46.01,-92.13,25,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
138,179,"Curt Pond core",36.9,-84.03,336,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",152
139,180,"Cliff Palace Pond core",37.52,-83.92,424,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",152
140,182,"Horse Cove Bog core",35.04,-83.15,887,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",152
141,184,"Mound G Pond core",35.14,-88.2,143,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-999999","2021-05-07",152
143,188,"Tuskegee Pond core",35.58,-84.21,240,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",152
144,191,"Black Pond core",35.62,-84.18,262,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",152
151,199,"Albion core",45.67,-71.32,320,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
153,201,"Desautels core",49.4578,-73.2567,480,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
158,206,"Spearman core",46.5439,-78.5028,368,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
159,207,"Yamaska core",45.4578,-72.8719,265,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
160,208,"Yelle core",48.5039,-79.6378,356,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
199,248,"Sharkey core",44.59,-93.41,305,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
200,249,"Kimble core",44.22,-93.84,309,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
214,265,"ELA-320 Lake core_area",49.5,-93.5,370,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",10
228,280,"Lac Hertel core",45.68,-74.05,75,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
267,325,"Lac Marcotte core",47.07,-71.42,503,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
269,327,"St Francois core",48.29,-72.14,358,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
282,344,"Round Pond core",44,-74,548,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",152
284,346,"Crawford core",43.468529,-79.948817,279,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
288,354,"Fish core",43.85,-95.04,423,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",152
291,359,"Moon core",46.857601,-98.158626,456,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",152
293,362,"McGinnis core",44.6,-78.03,256,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
294,363,"Petit Bouchard core",48.8539,-64.5978,145,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",152
295,364,"Lac aux Atocas core",45.5428,-73.3108,114,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
300,369,"Lac a Euloge core",49.2444,-65.3722,83,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
