"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT"
57,86,"Suho Breznishko core",41.81,23.35,1963,"lake sediment","Pollen slide","other","Global Charcoal Database Version 4","-777777","2020-03-06",161
58,87,"Okadensko core",41.78,23.35,2475,"lake sediment","Pollen slide","other","Global Charcoal Database Version 4","-777777","2020-03-06",161
99,135,"Lattok core",65.956944,18.345,480,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-19",149
100,136,"Raigejegge core",66.156944,18.2133333,480,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-19",149
104,140,"Massaciuccoli composite",43.85,10.31,1,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",21
194,243,"Lago di Origlio core",46.055556,8.944444,416,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-19",152
195,244,"Lago di Muzzano core",45.994444,8.927778,337,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-19",152
196,245,"Soppensee composite core (SO89-17)",47.091667,8.0833333,596,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-19",152
216,267,"Iso Lehmalampi core",60.35,24.6,106,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",75
227,279,"Etu-Mustajarvi core",60.98,25,157,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",75
277,335,"Trygasen core",61.77,13.3,549,"bog sediment","Sieved","influx","Global Charcoal Database Version 4","-777777","2020-03-16",16
278,336,"Lago Piccolo di Avigliana core",45.05,7.3833,356,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-19",21
312,381,"Artxilondo core",43.03,-1.13,900,"bog sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",152
314,383,"LLM Chavannes core",46.84,2.36,150,"bog sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",149
315,384,"Pla de l'Orri core",42.5,1.88,2100,"bog sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
316,385,"Cuguron core",43.1,0.54,515,"bog sediment","Pollen slide","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
318,387,"Lej da San Murrezzan core",46.49,9.84,1768,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",6
327,396,"Biviere di Gela core",37.0167,14.33,7,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",6
723,405,"Lago della Costa AP1",45.270278,11.743056,7,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-19",6
374,446,"Lago del Greppo composite",44.11,11.66,1442,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",6
403,482,"Bohult Hollow core",57.2333,16.1667,77,"small hollow","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",17
404,483,"STV05",57.024167,14.813056,187,"bog sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",53
440,525,"El Carrizal core",41.3185,-4.145,860,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",152
444,529,"Kalksjon core",60.13,13.05,-777777,"-777777","Sieved","influx","Global Charcoal Database Version 4","-777777","2020-03-06",149
