"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
220,"Northwest Lake",52.5,-92.5,331,"lacustrine",8.1,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
246,"Sky Lake",56.483601,-94.787937,145,"lacustrine",5,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.12,-999999
266,"Lac Diana",60.98,-69.95,114,"lacustrine",-777777,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
379,"Two Hill Lake",55.98,-97.28,200,"lacustrine",16,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
380,"OK Lake",54.8,-95.25,108,"lacustrine",16.4,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
389,"LG4-06",54.075,-72.9419,365,"lacustrine",-999999,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.071,-999999
612,"Amont",53.73,-74.38,335,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",NA,NA
613,"Aval",53.41,-73.86,335,"terrestrial, bog",0,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",NA,NA
1120,"Airport 1",53.6535,-77.729,175,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",-999999,-999999
1121,"Airport 2",53.6536,-77.7263,175,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",-999999,-999999
1155,"Lac Le Caron",52.292611,-75.8305,248,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",2.24,-999999
856,"Lac du Loup, Quebec",53.05503,-77.40053,206,"lacustrine",3,"small (0.01-1 km2)","-777777","-777777",0.016,NA
853,"Lac Garot",51.09964,-77.55358,248,"lacustrine",6.9,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.051,-999999
854,"Lac Huard",50.16414,-86.8265,343,"lacustrine",8.3,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.037,-999999
857,"Lac Marie-Eve",52.06169,-75.51667,296,"lacustrine",8.7,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.165,-999999
858,"Lac Nano",53.02375,-77.36425,206,"lacustrine",3.2,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.004,-999999
860,"Lac Schon",50.59492,-77.56836,291,"lacustrine",7,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.028,-999999
863,"Lac Trefle",51.85014,-76.04514,270,"lacustrine",5.4,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.068,-999999
1201,"Misask",52.7248,-72.2128,475,"terrestrial, fen",-888888,"small (0.01-1 km2)","-999999","-999999",0.102,-999999
1169,"Morts",50.2633,-63.6683,14,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",-999999,-999999
1170,"Mosaik",51.985694,-75.38544,300,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",2.67,-999999
1173,"Ours",54.04978,-72.45406,458,"terrestrial, fen",-888888,"small (0.01-1 km2)","-999999","-999999",0.01,-999999
1176,"Plaine",50.275,-63.5383,34,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",-999999,-999999
1178,"Radisson",53.7244,-77.7031,174,"terrestrial, bog",-888888,"small (0.01-1 km2)","-999999","-999999",-888888,-999999
