"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
1312,"Manaderos",40.3424,-4.6939,1292,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",5e-05,-999999
1313,"Marbore",42.6956305555556,0.0400194444444444,2612,"lacustrine",30,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.1,-999999
1315,"Basa de la Mora",42.54527,0.3255,1906,"lacustrine, glacial origin",4.5,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.03,2.09
1317,"Valle do Lobo Ribeira de Carcavai",37.057965,-8.074734,2.3,"coastal, estuarine",-888888,"-888888","medium (10.1-500 km2)","in and out flow",-888888,67
1318,"Armacao de Pera Ribeira de Alcantarilha",37.110107,-8.34459,2.4,"coastal, estuarine",-888888,"-888888","medium (10.1-500 km2)","in and out flow",-999999,41
1319,"Alvor Estuary Ribeira do Farelo  Ribeira da Torre",37.151969,-8.594376,0.6,"coastal, estuarine",-888888,"-888888","medium (10.1-500 km2)","in and out flow",-999999,257
1320,"Borreguil de la Caldera",37.0506,-3.3233,2992,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0017,0.62
1321,"Laguna de la Mula",37.0597,-3.4168,2497,"lacustrine, glacial origin",0.57,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.002,0.25
1322,"Laguna de la Mosca",37.0597,-3.3147,2889,"lacustrine, glacial origin",3.4,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0048,0.397
1323,"Puerto del Pico",40.3233,-5.0145,1395,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",2e-04,-999999
1324,"Calineasa",46.5631,22.8292,1300,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.01,-999999
1329,"Kumata",42.5904,23.2519,1770,"terrestrial, bog",NA,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.001,-999999
1333,"Molhasul Mare",46.59,22.7642,1124,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.08,-999999
1336,"Ahlequellmoor",51.73,9.51,300,"terrestrial, fen",NA,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
1337,"Beliya Kanton",41.73,24.14,1547,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.095,-999999
1338,"Bielice",48.62,18.34,185,"terrestrial, fen",NA,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",-999999,-999999
1340,"Kahala",59.48674,25.531503,33.2,"lacustrine",1.2,"small (0.01-1 km2)","medium (10.1-500 km2)","outflow only",3.45,13
1342,"Abborrtjarnen",63.8,14.37,387,"lacustrine",6.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.03,-999999
1343,"Bagno Serebryskie",51.176363,23.526241,173,"terrestrial, fen",NA,"medium (1.1-50 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",3.76,-999999
1352,"Lake Stiol",47.57,24.8136,1670,"lacustrine, glacial origin",1.3,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.016,1.53
1357,"Kevojarvi",69.75894,27.00018,74.7,"lacustrine",35,"small (0.01-1 km2)","large (more than 500 km2)","in and out flow",1.02,1520
1358,"Kilden Islet of Melkoya",70.67,23.64,15,"terrestrial, fen",NA,"very small (less than 0.01 km2)","-999999","closed - no inflow or outflow",0.00015,-999999
1364,"Lake Njargajavri",69.8666666666667,27.1666666666667,355,"lacustrine",2,"small (0.01-1 km2)","-999999","-999999",-999999,-999999
1446,"Taul Muced",47.5739,24.5446,1340,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.015,-999999
1465,"Lake Czarne Bog",54.295,22.0592,147,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.06,0.1
1636,"Gourte Mires",51.06,-3.67,291,"terrestrial, mire",NA,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
1641,"Viitna Pikkjarv",59.446389,26.010556,76.5,"lacustrine",4.2,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.16,1.1
1647,"Balywillin Crannog Lake Kinale",52.775,-7.4167,62,"lacustrine",4,"medium (1.1-50 km2)","-777777","in and out flow",6,27
1655,"Derragh Bog",53.7667,-7.4167,70.5,"terrestrial, bog",NA,"small (0.01-1 km2)","-777777","-777777",0.374,NA
1656,"Derragh Lough",53.7611,-7.5778,62,"lacustrine",2,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.4,6
1660,"Lake Salet",53.94,21.3224,132,"lacustrine",17.2,"medium (1.1-50 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",3.277,-999999
1679,"Grosser Treppelsee",52.15,14.452778,52.2,"lacustrine",5.55,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.71,58.3
1684,"Loch an Amair",57.28,-4.89,315,"lacustrine, glacial origin",3.25,"very small (less than 0.01 km2)","small (less than 10 km2)","outflow only",0.008,-999999
1686,"Lochan na h-Inghinn",58.25,-5.09,65,"lacustrine, glacial origin",3.14,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.01,-999999
1687,"Reidh-lochan",58.03,-4.12,160,"lacustrine, glacial origin",4.57,"very small (less than 0.01 km2)","small (less than 10 km2)","outflow only",0.008,-999999
1702,"MD95-2042",37.75,-10.16,-3146,"marine",-888888,"-888888","-888888","-888888",-888888,-888888
1719,"Lake Orijarvi, Mikkeli",61.662891,27.211239,89.7,"lacustrine",5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.288,-999999
1722,"Belauer See",54.1,10.2533,26,"lacustrine",29,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",1.15,32.86
1723,"Dubrava Wood",48.8673,17.1024,190,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
1725,"Gasak II",52.46,19.391266,81,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
1726,"Golebiewo I",54.45,18.5,130,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.06,-999999
1727,"Grosser Krebssee",52.85,14.0993,5,"lacustrine",7.5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.3,-999999
1728,"Iezerul Sadovei",47.6,25.44944444,930,"lacustrine",4.7,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.02,-999999
1729,"Jagniecy Potok",50.85,15.36,850,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.14,-999999
1730,"Lake Biale",52.5,19.494999,72,"lacustrine",31.3,"medium (1.1-50 km2)","small (less than 10 km2)","in and out flow",1.502,-999999
1734,"Lake Ruskowiejskie",53.95,21.3117,144,"lacustrine",11.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.291,-999999
1738,"Parizske Mire",47.87,18.4653,123,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
1740,"Lake Suminko",54.18,17.798333,163,"lacustrine",17.2,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.15,-999999
1741,"Litzelsee",47.77,8.9306,413,"lacustrine",8,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.013,-999999
1742,"Rasna",49.227306,15.374528,679,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
1743,"Semenic",45.18,22.05944444,1500,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1746,"Prasilske Jezero",49.06,13.4,1079,"lacustrine",14.8,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.037,0.52
1751,"Penningholmen Lake Uddjaure",66.03,17.43,425,"terrestrial, soil",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
1753,"Juodonys",55.74,25.44,20,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1754,"Lake Burg",42.505,1.306111,1821,"lacustrine, glacial origin",0.4,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.3,-999999
1767,"Lago di Pergusa",37.51,14.3,674,"lacustrine",1,"medium (1.1-50 km2)","small (less than 10 km2)","closed - no inflow or outflow",1.4,7.5
1787,"Eustach",50.890667,14.428425,387,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.005,-999999
1788,"Krepelcí dul",50.931874,14.438233,357,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",6e-04,-999999
1791,"Polomovy dul",50.882869,14.317496,313,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",5e-04,-999999
1793,"Pravcicky dul",50.884236,14.296834,382,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",1e-04,-999999
1794,"Puklina",50.932394,14.439768,386,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",1e-04,-999999
1795,"Raseliniste Jizery",50.861706,15.301881,843,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.03,-999999
1796,"Stara jimka",49.068764,13.402947,1129,"lacustrine, drained lake",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",0.04,1
1798,"Vlcek",50.039798,12.731939,769,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.165,-999999
1799,"Zofinsky prales",48.664442,14.705347,785,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.009,-999999
1801,"Tajga",50.0261,12.680355,817,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.65,-999999
1805,"Lake Czechowskie",53.87417,18.23667,109,"lacustrine",32,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.77,-999999
1806,"Dalane",58.244167,8.004445,40,"lacustrine",5.15,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.028,-999999
1807,"Holebudalen",59.841389,6.008611,1144,"lacustrine",8.2,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.02,-999999
1808,"Lille Kjelavatn",59.796111,7.001944,978,"lacustrine",3.5,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",0.005,-999999
1809,"Flotatjonn",59.67027,7.54055,890,"lacustrine",8,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1810,"Bjornfjelltjorn",68.44416,18.07166,510,"lacustrine",12.9,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1811,"Litlvatnet",68.52694,14.93083,106,"lacustrine",6,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1812,"Myrvatnet",68.66055,16.38138,197,"lacustrine",4.8,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1813,"Gammelheimenvatnet",68.48222,17.75944,290,"lacustrine",4.8,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1814,"Vuoskkujarvi",68.34555,19.1,384,"lacustrine",18,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.68,11.2
1815,"Grauthelleren",58.14416,7.91361,80,"lacustrine",7.8,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",-999999,-999999
1816,"Kinnshaugen",61.10833,10.35916,591,"lacustrine",4.6,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1817,"Lisletonn",59.34361,7.305,520,"lacustrine",7.1,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1818,"Morttjern",59.05972,11.61777,227,"lacustrine",12,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1819,"Masatjornet",61.5625,10.26777,841,"lacustrine",3.6,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1820,"Reiarsdalsvatn",58.32638,7.78583,245,"lacustrine",9.2,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1821,"Ratasjoen",62.26666,9.83333,1169,"lacustrine, glacial origin",8.3,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.125,-999999
1822,"Storsandvatnet",63.4575,8.45444,106,"lacustrine",0.7,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1823,"Svartvatnet",63.35138,8.87777,183,"lacustrine",10,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1824,"Tiavatnet",63.05972,9.41694,464,"lacustrine",7,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1825,"Oygardtjonn",59.62583,7.98666,665,"lacustrine",12.5,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1826,"Isbenttjorn",59.765,0.43444,787,"lacustrine",11.5,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1833,"BEAT, Glen Affric",57.259899,-4.9661087,270,"terrestrial",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",-999999,-999999
1835,"Le Vernay",47.261944,4.079167,595,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
1836,"Verny des Brulons",47.317778,4.122778,565,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
1837,"Quart du Bois",46.8925,4.034167,420,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
1838,"Nataloup",47.2275,4.035278,515,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
1839,"Grostjorna Setesdal Valley",58.5333,7.7333,180,"lacustrine",9.5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.03,-999999
1840,"Vestre Oykjamyrtorn",59.8167,6,570,"lacustrine",8,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.018,0.11
1841,"Trettetjorn",60.7167,7,810,"lacustrine",7.5,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",0.008,-999999
1922,"Champ Gazon",47.203333,4.048611,585,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.2,-999999
1923,"Bazu bog",57.70004,22.45021,15,"terrestrial, bog",-888888,"very large (more than 500 km2)","large (more than 500 km2)","-888888",2646,-999999
1924,"Lielais Vipedis",56.59148,23.00094,96,"lacustrine",4,"medium (1.1-50 km2)","small (less than 10 km2)","in and out flow",21,9
1925,"Lake Pikku Harkajarvi",68.8532,28.6447,188,"lacustrine",6.4,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0373,7
1926,"Lake Rosalia",68.9128,28.3692,180,"lacustrine",9,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.03017,8
1927,"Mannikjarve",58.8667,26.25,90,"terrestrial, bog",-888888,"medium (1.1-50 km2)","medium (10.1-500 km2)","-888888",3.2,-999999
1951,"Holbicky",48.51,17.109167,183,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
1953,"Hute pod Smrkem",49.47,18.418517,533,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
1958,"Seedorf",46.79522,7.04045,609,"lacustrine",7.5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.135,4.5
1966,"Herrenwieser See",48.669167,8.296389,830,"lacustrine",9.5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.013,-999999
1968,"Oberderdingen-Grossvillars",49.0425,8.760278,207,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
1970,"Lake Skrzynka",53.81,17.5214,121,"lacustrine",4.3,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.21,-999999
1973,"Lake Kojle",54.02,22.88,149,"terrestrial, bog",33,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.17,-999999
1974,"Brve",50.06666,14.23888,362,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.06,-999999
1975,"Nad Dolskym mlynem",50.8525,14.338889,240,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",5e-04,-999999
1976,"Zahaji",50.379444,14.115556,232,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
1977,"Na Bahne",50.198889,15.961389,240,"terrestrial, fen",1,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.01,-999999
1982,"Jeleni louze",50.892778,14.27,460,"terrestrial, mire",1,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.02,-999999
1983,"Pancavska louka",50.766389,15.541111,1336,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.28,-999999
1985,"Pryskyricny dul",50.887778,14.413333,423,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.002,-888888
1989,"Lac du Verney-Dessus",45.693333,6.8725,2276,"lacustrine",1,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
1991,"Mindelsee",47.75555,9.02305,406,"lacustrine, glacial origin",14,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.99,25.5
1992,"Lake Suchar IV",54.09,23.0247,143,"lacustrine, glacial origin",8,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0095,-999999
1355,"Vaike Juusa",58.05,26.5,122,"lacustrine",6,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.03,0.55
1999,"Beg Bunar",42.15,22.55,1750,"terrestrial, bog",-888888,"small (0.01-1 km2)","medium (10.1-500 km2)","inflow only",-999999,-999999
