"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
440,"El Carrizal",41.3185,-4.145,860,"lacustrine",1.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.11,-999999
444,"Kalksjon",60.13,13.05,14.2,"lacustrine",14.2,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.4,4
446,"Griblje Marsh",45.56,15.27,160,"-777777",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
460,"Gabarn",43.17,-0.55,525,"terrestrial, bog",0,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",NA,NA
462,"Sierra de Gador",36.9,-2.9167,1530,"lacustrine, drained lake",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.14,-999999
464,"Kragso",56.291465,9.091028,47,"lacustrine",1,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.22,-999999
465,"Lac du Lait",45.31,6.81,2180,"lacustrine",1,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",NA,NA
466,"Lac du Thyl",45.24,6.49,2038,"terrestrial, bog",0.5,"very small (less than 0.01 km2)","small (less than 10 km2)","outflow only",NA,NA
468,"Lac Miroir",44.63,6.79,2214,"lacustrine",-777777,"-777777","-777777","-777777",NA,NA
471,"Plan Bouchet",45.24,6.56,2405,"terrestrial, bog",-777777,"very small (less than 0.01 km2)","small (less than 10 km2)","inflow only",NA,NA
472,"Skanso",56.509377,8.82872,8,"lacustrine",8.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.115,1.07
473,"Solso",56.128367,8.613735,41,"lacustrine",6.5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.02,-999999
477,"Lios Lairthin Mor",53.08,-9.21,270,"terrestrial, bog",-888888,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",-999999,-999999
491,"Lovnas Arjeplog",66.310833,17.900833,515,"lacustrine, glacial origin",3.7,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",0.003,0.03
495,"Steerenmoos",47.8167,8.1833,1000,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.2,-999999
496,"Lake Lucerne",47.05,8.59,434,"lacustrine",110,"large (50.1-500 km2)","large (more than 500 km2)","in and out flow",113.6,2124
534,"Derrycunihy Wood",52.01,-9.41,75,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",-999999,-999999
535,"Camillan Wood",52.03,-9.56,17,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.001,-999999
536,"Mongan Bog",53.33,-7.93,45,"terrestrial, bog",-888888,"medium (1.1-50 km2)","small (less than 10 km2)","closed - no inflow or outflow",6,-999999
537,"Abbeyknockmoy Bog",53.44,-8.76,60,"terrestrial, bog",-777777,"-777777","-777777","-888888",NA,NA
540,"Loch a'Phuinnd",57.366667,-7.266667,10,"lacustrine",5.7,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.015,-999999
541,"Crag Lough",55.006008,-2.3673827,250,"lacustrine, glacial origin",2,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.11,-999999
542,"Dallican Water",60.39167,-1.1,56,"lacustrine",4,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.01,0.092
549,"Anstey's Combe",51.054451,-3.6747154,282,"terrestrial, mire",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",-999999,-999999
593,"Pian Segna",46.18,8.63,1162,"terrestrial, bog",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
594,"Lago di Fimon",45.4667,11.5333,23,"lacustrine",3.9,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.67,-999999
608,"Lac du Loup",45.18,6.53,2032,"lacustrine",1.4,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",NA,NA
609,"Gorgo Basso",37.61,12.65,6,"lacustrine",10,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.03,-999999
622,"Lake Ostrezko-2",42.13,23.46,2320,"lacustrine",1.5,"very small (less than 0.01 km2)","medium (10.1-500 km2)","in and out flow",0.15,-999999
624,"Resnikov prekop",45.97,14.54,290,"archaeological site",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
641,"Sarup So",55.2,10.06,-888888,"lacustrine",4.1,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.036,-999999
642,"Holtjarnen",60.65,14.916667,232,"lacustrine, glacial origin",7,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.01,-999999
643,"Klotjarnen",61.816667,16.533333,235,"lacustrine, glacial origin",6,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.012,-999999
698,"Lago Dell'Accesa",42.9879329162739,10.8951222896576,155,"lacustrine",37.5,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.226,-999999
747,"Lago Perso",44.905833,6.797222,1801,"lacustrine",3,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.000408,0.27
758,"Libouse",44.59,6.32,1806,"terrestrial, bog",NA,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
766,"Kapteinstjorn Siljan",59.33,9.66,590,"-777777",NA,"-777777","-777777","-777777",NA,NA
767,"Kontolanrahka bog Poytya",60.79,22.77,80,"terrestrial, bog",-888888,"medium (1.1-50 km2)","medium (10.1-500 km2)","-888888",8.8,-999999
769,"Dallund So North Funen",55.48,10.26,12,"-777777",NA,"-777777","-777777","-777777",NA,NA
772,"Slowinskie Blota Bog",54.58,16.92,20,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
776,"Lago Alimini Piccolo",40.18,18.43,1,"lacustrine",2,"medium (1.1-50 km2)","small (less than 10 km2)","outflow only",1.05,-999999
777,"Siroki Nyirjes To",47.926352,20.183213,200,"terrestrial, fen",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.009,-999999
779,"Pena da Cadela",42.83,-7.17,970,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.005,-999999
780,"Fuldera-Palu Lunga",46.61,10.36,1822,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.01,-999999
781,"Halledammen Hallands Vadero",56.44,12.57,NA,"-777777",NA,"-777777","-777777","-777777",NA,NA
783,"Les Amburnex Mire",46.53972,6.231667,1370,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.002,-999999
784,"Skargolarna",57.02,16.12,NA,"-777777",NA,"-777777","-777777","-777777",NA,NA
793,"Kentra Moss",56.75,-5.83,10,"terrestrial, bog",-888888,"small (0.01-1 km2)","-888888","-888888",0.95,-888888
795,"Kinloch",57.025431,-6.299902,-999999,"terrestrial, mire",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
798,"Loch of Torness",58.77,-3.29,15,"-777777",NA,"-777777","-777777","-777777",NA,NA
805,"Tourbiere du Peschio",44.45,3.6,1370,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
