"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
1848,"Cana Swamp",7.75,-77.58,500,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",1,-999999
1894,"Lake Wodehouse",7.65,-77.55,500,"terrestrial, marsh",0,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",9,-999999
