"ID_MODEL","ID_SAMPLE","original_est_age"
2,22715,2378
2,22716,2384
2,22717,2391
2,22718,2397
2,22719,2404
2,22720,2410
2,22721,2417
2,22722,2423
2,22723,2430
2,22724,2436
2,22725,2443
2,22726,2449
2,22727,2456
2,22728,2463
2,22729,2469
2,22730,2476
2,22731,2482
2,22732,2489
2,22733,2495
2,22734,2502
2,22735,2509
2,22736,2515
2,22737,2522
2,22738,2528
2,22739,2535
2,22740,2542
2,22741,2548
2,22742,2555
2,22743,2561
2,22744,2568
2,22745,2575
2,22746,2581
2,22747,2588
2,22748,2595
2,22749,2601
2,22750,2608
2,22751,2615
2,22752,2621
2,22753,2628
2,22754,2635
2,22755,2641
2,22756,2648
2,22757,2655
2,22758,2662
2,22759,2668
2,22760,2675
2,22761,2682
2,22762,2689
2,22763,2695
2,22764,2702
2,22765,2709
2,22766,2716
2,22767,2722
2,22768,2729
2,22769,2736
2,22770,2743
2,22771,2749
2,22772,2756
2,22773,2763
2,22774,2770
2,22775,2777
2,22776,2783
2,22777,2790
2,22778,2797
2,22779,2804
2,22780,2811
2,22781,2818
2,22782,2824
2,22783,2831
2,22784,2838
2,22785,2845
2,22786,2852
2,22787,2859
2,22788,2866
2,22789,2872
2,22790,2879
2,22791,2886
2,22792,2893
2,22793,2900
2,22794,2907
2,22795,2914
2,22796,2921
2,22797,2928
2,22798,2935
2,22799,2942
2,22800,2949
2,22801,2955
2,22802,2962
2,22803,2969
2,22804,2976
2,22805,2983
2,22806,2990
2,22807,2997
2,22808,3004
2,22809,3011
2,22810,3018
2,22811,3025
2,22812,3032
2,22813,3039
2,22814,3046
2,22815,3053
2,22816,3060
2,22817,3067
2,22818,3074
2,22819,3081
2,22820,3088
2,22821,3095
2,22822,3102
2,22823,3109
2,22824,3116
2,22825,3123
2,22826,3131
2,22827,3138
2,22828,3145
2,22829,3152
2,22830,3159
2,22831,3166
2,22832,3173
2,22833,3180
2,22834,3187
2,22835,3194
2,22836,3201
2,22837,3208
2,22838,3216
2,22839,3223
2,22840,3230
2,22841,3237
2,22842,3244
2,22843,3251
2,22844,3258
2,22845,3265
2,22846,3273
2,22847,3280
2,22848,3287
