"ID_SITE","ID_ENTITY","ID_SAMPLE","entity_name","avg_depth","charcoal_measurement","original_est_age","TYPE"
60,89,20281,"Laguna Venus core",0.01,0.82,-34,"concentration"
60,89,20282,"Laguna Venus core",0.02,1.15,-26,"concentration"
60,89,20283,"Laguna Venus core",0.03,1.59,-18,"concentration"
60,89,20284,"Laguna Venus core",0.04,2.47,-10,"concentration"
60,89,20285,"Laguna Venus core",0.05,1.92,-1,"concentration"
60,89,20286,"Laguna Venus core",0.06,4.23,8,"concentration"
60,89,20287,"Laguna Venus core",0.07,2.8,15,"concentration"
60,89,20288,"Laguna Venus core",0.08,19.18,25,"concentration"
60,89,20289,"Laguna Venus core",0.09,4.34,33,"concentration"
60,89,20290,"Laguna Venus core",0.1,1.87,41,"concentration"
60,89,20291,"Laguna Venus core",0.11,0.82,49,"concentration"
60,89,20292,"Laguna Venus core",0.12,0.77,57,"concentration"
60,89,20293,"Laguna Venus core",0.13,2.86,66,"concentration"
60,89,20294,"Laguna Venus core",0.14,0.82,75,"concentration"
60,89,20295,"Laguna Venus core",0.15,0.44,83,"concentration"
60,89,20296,"Laguna Venus core",0.16,0.6,92,"concentration"
60,89,20297,"Laguna Venus core",0.17,0.6,101,"concentration"
60,89,20298,"Laguna Venus core",0.18,0.6,109,"concentration"
60,89,20299,"Laguna Venus core",0.19,0.38,118,"concentration"
60,89,20300,"Laguna Venus core",0.2,0.66,127,"concentration"
60,89,20301,"Laguna Venus core",0.21,0.99,197,"concentration"
60,89,20302,"Laguna Venus core",0.22,0.44,267,"concentration"
60,89,20303,"Laguna Venus core",0.23,0.6,338,"concentration"
60,89,20304,"Laguna Venus core",0.24,0.66,397,"concentration"
60,89,20305,"Laguna Venus core",0.25,0.6,458,"concentration"
60,89,20306,"Laguna Venus core",0.26,7.75,511,"concentration"
60,89,20307,"Laguna Venus core",0.27,0.49,565,"concentration"
60,89,20308,"Laguna Venus core",0.28,0.38,612,"concentration"
60,89,20309,"Laguna Venus core",0.29,1.15,649,"concentration"
60,89,20310,"Laguna Venus core",0.3,1.32,687,"concentration"
60,89,20311,"Laguna Venus core",0.31,0.6,719,"concentration"
60,89,20312,"Laguna Venus core",0.32,0.49,758,"concentration"
60,89,20313,"Laguna Venus core",0.33,0.38,788,"concentration"
60,89,20314,"Laguna Venus core",0.34,0.27,816,"concentration"
60,89,20315,"Laguna Venus core",0.35,0.66,842,"concentration"
60,89,20316,"Laguna Venus core",0.36,0.44,868,"concentration"
60,89,20317,"Laguna Venus core",0.37,0.6,895,"concentration"
60,89,20318,"Laguna Venus core",0.38,0.44,917,"concentration"
60,89,20319,"Laguna Venus core",0.39,0.38,939,"concentration"
60,89,20320,"Laguna Venus core",0.4,0.66,963,"concentration"
60,89,20321,"Laguna Venus core",0.41,0.22,982,"concentration"
60,89,20322,"Laguna Venus core",0.42,0.6,1003,"concentration"
60,89,20323,"Laguna Venus core",0.43,0.6,1029,"concentration"
60,89,20324,"Laguna Venus core",0.44,0.22,1056,"concentration"
60,89,20325,"Laguna Venus core",0.45,0.44,1079,"concentration"
60,89,20326,"Laguna Venus core",0.46,0.11,1104,"concentration"
60,89,20327,"Laguna Venus core",0.47,0.11,1130,"concentration"
60,89,20328,"Laguna Venus core",0.48,0.38,1161,"concentration"
60,89,20329,"Laguna Venus core",0.49,0.11,1193,"concentration"
60,89,20330,"Laguna Venus core",0.5,0.22,1233,"concentration"
60,89,20331,"Laguna Venus core",0.51,0.11,1270,"concentration"
60,89,20332,"Laguna Venus core",0.52,0.11,1313,"concentration"
60,89,20333,"Laguna Venus core",0.53,0.22,1354,"concentration"
60,89,20334,"Laguna Venus core",0.54,0.22,1404,"concentration"
60,89,20335,"Laguna Venus core",0.55,0.05,1459,"concentration"
60,89,20336,"Laguna Venus core",0.56,0.27,1533,"concentration"
60,89,20337,"Laguna Venus core",0.57,0.05,1591,"concentration"
60,89,20338,"Laguna Venus core",0.58,0.05,1650,"concentration"
66,96,20915,"Morro de Itapeva core",0,591.22402,-43,"pollen concentration"
