"ID_SITE","ID_ENTITY","ID_SAMPLE","entity_name","avg_depth","charcoal_measurement","original_est_age","TYPE"
59,88,20120,"Lake Van core",0.005,16648.67188,0,"concentration"
59,88,20121,"Lake Van core",0.025,15547.93359,32,"concentration"
59,88,20122,"Lake Van core",0.065,13156,127,"concentration"
59,88,20123,"Lake Van core",0.105,17259.63281,222,"concentration"
59,88,20124,"Lake Van core",0.185,15050.40039,378,"concentration"
59,88,20125,"Lake Van core",0.265,17102.72656,502,"concentration"
59,88,20126,"Lake Van core",0.305,12059.61523,573,"concentration"
59,88,20127,"Lake Van core",0.345,7099.245117,644,"concentration"
59,88,20128,"Lake Van core",0.43,9953.967773,716,"concentration"
59,88,20129,"Lake Van core",0.505,6377.288086,817,"concentration"
59,88,20130,"Lake Van core",0.585,7806.224121,942,"concentration"
59,88,20131,"Lake Van core",0.665,7291.860352,1080,"concentration"
59,88,20132,"Lake Van core",0.745,10874.56641,1217,"concentration"
59,88,20133,"Lake Van core",0.785,22132.94141,1279,"concentration"
59,88,20134,"Lake Van core",0.808,20448.91,1342,"concentration"
59,88,20135,"Lake Van core",0.868,10812.06,1425,"concentration"
59,88,20136,"Lake Van core",0.908,15677.5,1508,"concentration"
59,88,20137,"Lake Van core",0.99,16079.4873,1660,"concentration"
59,88,20138,"Lake Van core",1.072,23225.92,1828,"concentration"
59,88,20139,"Lake Van core",1.152,22132.94,1960,"concentration"
59,88,20140,"Lake Van core",1.232,12974.48,2035,"concentration"
59,88,20141,"Lake Van core",1.312,21624.13,2162,"concentration"
59,88,20142,"Lake Van core",1.392,19394.84,2208,"concentration"
59,88,20143,"Lake Van core",1.472,15677.5,2277,"concentration"
59,88,20144,"Lake Van core",1.552,19803.15,2432,"concentration"
59,88,20145,"Lake Van core",1.632,18626.73,2542,"concentration"
59,88,20146,"Lake Van core",1.712,17917.14,2657,"concentration"
59,88,20147,"Lake Van core",1.792,10169.18,2765,"concentration"
59,88,20148,"Lake Van core",1.872,15943.22,2919,"concentration"
59,88,20149,"Lake Van core",1.952,21138.2,3018,"concentration"
59,88,20150,"Lake Van core",2.035,31886.44141,3034,"concentration"
59,88,20151,"Lake Van core",2.115,17102.72656,3148,"concentration"
59,88,20152,"Lake Van core",2.195,19596.875,3176,"concentration"
59,88,20153,"Lake Van core",2.325,26129.16602,3221,"concentration"
59,88,20154,"Lake Van core",2.405,24432.4668,3286,"concentration"
59,88,20155,"Lake Van core",2.485,22666.26563,3400,"concentration"
59,88,20156,"Lake Van core",2.565,11758.125,3512,"concentration"
59,88,20157,"Lake Van core",2.645,15050.40039,3614,"concentration"
59,88,20158,"Lake Van core",2.725,15547.93359,3721,"concentration"
59,88,20159,"Lake Van core",2.805,20448.91211,3815,"concentration"
59,88,20160,"Lake Van core",2.886,11685.09,3880,"concentration"
59,88,20161,"Lake Van core",2.966,12885.61,3940,"concentration"
59,88,20162,"Lake Van core",3.046,15050.4,4016,"concentration"
59,88,20163,"Lake Van core",3.126,12059.61,4087,"concentration"
59,88,20164,"Lake Van core",3.206,14471.53,4167,"concentration"
59,88,20165,"Lake Van core",3.286,10874.56,4256,"concentration"
59,88,20166,"Lake Van core",3.366,15050.4,4356,"concentration"
59,88,20167,"Lake Van core",3.446,8197.38,4472,"concentration"
59,88,20168,"Lake Van core",3.526,9875.59,4572,"concentration"
59,88,20169,"Lake Van core",3.606,10451.66,4679,"concentration"
59,88,20170,"Lake Van core",3.686,11758.12,4818,"concentration"
59,88,20171,"Lake Van core",3.766,17917.14,4970,"concentration"
59,88,20172,"Lake Van core",3.8339,13342.55,5104,"concentration"
59,88,20173,"Lake Van core",3.9139,17259.63,5279,"concentration"
59,88,20174,"Lake Van core",3.9939,18089.42,5457,"concentration"
59,88,20175,"Lake Van core",4.0739,12458.94,5632,"concentration"
59,88,20176,"Lake Van core",4.1539,17917.14,5732,"concentration"
59,88,20177,"Lake Van core",4.2339,15150.73,5842,"concentration"
59,88,20178,"Lake Van core",4.3139,17400.61,5973,"concentration"
59,88,20179,"Lake Van core",4.3939,17259.63,6109,"concentration"
59,88,20180,"Lake Van core",4.4739,20903.33,6261,"concentration"
59,88,20181,"Lake Van core",4.5539,19196.93,6446,"concentration"
59,88,20182,"Lake Van core",4.6339,17259.63,6611,"concentration"
59,88,20183,"Lake Van core",4.71,16797.32227,6784,"concentration"
