"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,-0.233354421279834,0.27743909088227,-0.660100308684139,25,20,41,"BONA_W"
-50,-0.354612396140566,-0.0758494707712197,-0.677981678431639,41,20,46,"BONA_W"
-40,-0.210952547466995,0.0558346208853006,-0.434402606503376,45,20,49,"BONA_W"
-30,-0.0847447655468738,0.145650903790963,-0.268224110803108,47,20,50,"BONA_W"
-20,-0.0158860182523147,0.167693333851147,-0.174129779226446,47,20,49,"BONA_W"
-10,0.0763624651092901,0.282915713082061,-0.118919334733148,44,20,53,"BONA_W"
0,0.056917404454808,0.321771956158899,-0.209891702677353,48,20,50,"BONA_W"
10,0.216389246829935,0.444700259216906,0.00596467554228576,45,20,50,"BONA_W"
20,0.0119263021260013,0.214417700797677,-0.194312494928729,44,20,47,"BONA_W"
30,-0.156303994074473,0.117887369966168,-0.412401021928306,43,20,46,"BONA_W"
40,0.00440408520152534,0.23585363990747,-0.255127890522742,42,20,49,"BONA_W"
50,0.120470718075714,0.332067934381036,-0.0869162092711038,47,20,49,"BONA_W"
60,0.276260616365323,0.538109012918888,0.0266199370449822,43,20,50,"BONA_W"
70,0.275501791890539,0.496717514626172,0.0510511878386077,41,20,48,"BONA_W"
80,0.0805198023829418,0.271193876282407,-0.0969245584866182,43,20,46,"BONA_W"
90,0.0503341236333871,0.279202863176882,-0.150285839658913,43,20,47,"BONA_W"
100,0.00467338716106713,0.257812483156283,-0.251533025604268,40,20,48,"BONA_W"
110,0.0839420727771729,0.35236012681333,-0.173259712867033,44,20,48,"BONA_W"
120,0.106583476397489,0.354388561141952,-0.136060421743945,45,20,49,"BONA_W"
130,0.0174736653904422,0.332759545328104,-0.207361549048507,39,20,49,"BONA_W"
140,-0.137532535937566,0.0795305642449919,-0.326482014359005,40,20,47,"BONA_W"
150,-0.128712247958394,0.0789420777950065,-0.343370834170529,40,20,46,"BONA_W"
160,-0.105704941198618,0.103908525721091,-0.30442856047334,36,20,47,"BONA_W"
170,-0.0526232643977234,0.199572048936988,-0.293191320864965,42,20,47,"BONA_W"
180,-0.100519742411433,0.160027016349201,-0.347367836919316,41,20,46,"BONA_W"
190,-0.196297745495913,0.0428580027394147,-0.406543191543757,42,20,48,"BONA_W"
200,-0.121030742138322,0.133387634267452,-0.358061214493426,44,20,47,"BONA_W"
