"","x"
"1",45
"2",133
"3",134
"4",167
"5",179
"6",180
"7",182
"8",184
"9",188
"10",191
"11",199
"12",201
"13",206
"14",207
"15",208
"16",248
"17",265
"18",280
"19",325
"20",327
"21",344
"22",354
"23",359
"24",362
"25",363
"26",364
"27",369
"28",373
"29",374
"30",376
"31",377
"32",378
"33",379
"34",460
"35",461
"36",462
"37",464
"38",706
"39",801
"40",802
"41",825
"42",826
"43",960
"44",984
"45",1335
"46",1338
"47",1339
"48",1346
"49",1352
"50",1360
"51",1366
"52",1367
"53",1377
"54",1402
"55",1418
"56",1438
"57",1454
"58",1485
"59",1498
"60",1500
"61",1502
"62",1504
"63",1511
"64",1514
"65",1516
"66",1517
"67",1535
"68",1641
"69",1672
"70",1777
"71",1837
"72",1838
"73",1839
"74",1841
"75",1842
"76",1843
"77",1844
"78",1845
"79",1846
"80",1847
"81",1848
"82",1865
"83",1867
"84",1868
"85",1869
"86",1870
"87",1871
"88",1872
"89",1873
"90",1874
"91",1875
"92",1876
"93",1877
"94",1878
"95",1879
"96",1880
"97",1881
"98",1911
"99",1912
"100",1913
"101",1914
"102",1919
"103",1920
"104",1922
"105",2068
"106",2070
"107",2093
"108",2094
"109",2096
"110",2097
"111",2099
"112",2102
"113",2103
"114",2104
"115",2106
"116",2107
"117",2117
"118",2118
"119",2120
"120",2121
"121",2122
"122",2127
"123",2128
"124",2129
"125",2134
"126",2135
"127",2167
"128",2171
"129",2182
"130",2184
"131",2187
"132",2196
"133",2206
